"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.1.Dec.2019","sheets.players.League","sheets.players.Age.on.1.Dec.2019","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"29","35","6","Becky Sauerbrunn","Defender","Utah Royals","NWSL","34","USA","American, NWSL, Defenders","","","https://media.guim.co.uk/0c64636647dada5d4dad1f1149431e1df3950767/141_246_1848_1848","cropRatio=1848,1848&size=140,500,1000,1848","https://media.guim.co.uk/2498b535ae72a82267711ad2dda3c27d66c89ed7/0_137_3116_1869","cropRatio=3116,1869&size=140,500,1000,2000,3116","","There is not a lot left to be said about Sauerbrunn. At 34, she still possesses the quality and experience that have made her a key player in the USA's success this year. Sauerbrunn missed the opening game of the World Cup, against Thailand, through injury but returned to play 90 minutes in each of their six games after that. The sight of Sauerbrunn on the floor with blood trickling down her face in the final summed up her indomitable attitude, her no-nonsense mentality and why the defender has been a mainstay in two World Cup-winning sides. Despite international commitments, she managed 14 appearances for Utah Royals and even popped up with her first goal for the club.","","","","","","header-image-day-1_alligator.png"
"30","51","21","Christen Press","Forward","Utah Royals","NWSL","30","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/ebff55f3ff6e0054ac4602dc4e7893b6eb9562c5/501_469_1506_1506","cropRatio=1506,1506&size=140,500,1000,1506","https://media.guim.co.uk/83d6c8383e6843172619b61af3f2d69015f6b156/0_497_4889_2933","cropRatio=4889,2933&size=140,500,1000,2000,4889","","It has been a really strong year for Press: 13 goals for club and country and a World Cup medal. Press's influence whether in the No 9 role or playing from the left is of vital importance to the USA team. She had a steady start to the year but her big moment came when she replaced the injured Megan Rapinoe in the World Cup semi-final against England. It took Press only 10 minutes to head in the opener. Press returned from France full of confidence, scoring in her first two games against the NWSL's strongest sides, before adding five more goals and finding the net in both of Vlatko Andonovski's first two games in charge of the USA.","","","","","","header-image-day-1_alligator.png"
"31","18","-13","Saki Kumagai","Midfielder","Lyon","Division 1 Féminine","29","Japan","Other nationalities, Division 1 Féminine, Midfielders","","","https://media.guim.co.uk/1cdf50ab1aaeaf4fe9bc5f3a3e4265b809fc2cde/221_279_2168_2167","cropRatio=2168,2167&size=140,500,1000,2000,2168","https://media.guim.co.uk/ba4082c9f6f2113705422ad05f2f06c2ef6dd86a/0_143_3500_2101","cropRatio=3500,2101&size=140,500,1000,2000,3500","","It says a lot about Lyon's quality that someone as good as Kumagai is no longer a guaranteed starter. One of the classiest and calmest passers of the ball, Kumagai played only 15 minutes of Lyon's two-legged Champions League semi-final and 18 minutes in the final, but her versatility meant she was still a key squad player as they piled up the trophies once again. Kumagai is still an important component of a Japan side filled with youngsters as they look to prepare for the 2020 Tokyo Olympics, and she played every minute of the team's World Cup campaign. Was unlucky to see a penalty given against her to knock her side out with the harshest of handball calls against the Netherlands.","","","","","","header-image-day-1_alligator.png"
"32","42","10","Nikita Parris","Forward","Lyon","Division 1 Féminine","25","England","English, Division 1 Féminine, Forwards","","","https://media.guim.co.uk/d45bda3bebc41bf60bad013c5a91155b83951aad/351_146_1078_1077","cropRatio=1078,1077&size=140,500,1000,1078","https://media.guim.co.uk/0d1a57b2f99ed106272b252bf9a344f2665473f4/0_204_4366_2619","cropRatio=4366,2619&size=140,500,1000,2000,4366","","There was simply no stopping Parris at the start of 2019. She scored in her first five games of the year including a double at Chelsea to send Manchester City to the Continental Cup final while a brilliant hat-trick away at Reading kept her side in the WSL title race. It was no surprise she earned a summer move to Lyon but her World Cup should have been better for a player in her form. It started in the best possible fashion as she scored England's first goal of the tournament but a penalty miss against Argentina and another against Norway seemed to derail her confidence. She has had a slow but steady start to life in Lyon, finding the net six times but having to also play a more rotational role given the talent in Lyon's front line.","","","","","","header-image-day-1_alligator.png"
"33","26","-7","Nilla Fischer","Defender","Linköping","Damallsvenskan","35","Sweden","Swedish, Other leagues, Defenders","","","https://media.guim.co.uk/d77efd3794a67feae7393afabf215f727cd733fd/438_298_2076_2077","cropRatio=2076,2077&size=500,1000,2000,2076","https://media.guim.co.uk/ea57f39915cdd28344d14decffe70bf8c0ff0f2b/0_173_3957_2374","cropRatio=3957,2374&size=140,500,1000,2000,3957","","How much more revered than she already is could Fischer have been had Sari van Veenendaal not got a finger to her low effort in the World Cup semi-final? It would have possibly been the perfect World Cup farewell for a player who will be 39 when 2023 comes around but a near miss did not detract from her overall performances. Fischer's club duties were restricted by injuries after she returned to Linköping at the start of the year but she led her nation to a bronze medal during the summer. A towering presence in big wins against Germany and Canada, Fischer did her best to get Sweden all the way and reminded everyone how good she was while doing it.","","","","","","header-image-day-1_alligator.png"
"34","23","-11","Kim Little","Midfielder","Arsenal","FA WSL","29","Scotland","Other nationalities, WSL, Midfielders","","","https://media.guim.co.uk/d46baf640000310a06ea8fbcd752dbec5972d3fc/1193_133_1901_1901","cropRatio=1901,1901&size=140,500,1000,1901","https://media.guim.co.uk/fa1f02e1a130de252385a829f67d19fdef79505c/52_199_3089_1853","cropRatio=3089,1853&size=140,500,1000,2000,3089","","For a player who has for so long been one of the world's finest, to see Kim Little on the world stage after an ACL injury cruelly ruled her out of Euro 2017 was one of the year's highlights. For Little, the year could not have gone much better. Not only did she finally get to lead her country at a major tournament, she got her hands back on the WSL trophy with Arsenal seven years after their previous title triumph. Little's form never matched what she showed at the end of 2018 but as the Arsenal squad were struck by injuries, she remained the constant presence to lead her team to the title. For Scotland she found the net in France against Argentina in the dramatic encounter that would ultimately end their tournament and came back with a vengeance with a five-goal haul in their first Euro 2021 qualifier against Cyprus. Already has eight goals this season for her club.","","","","","","header-image-day-1_alligator.png"
"35","95","60","Kosovare Asllani","Forward","CD Tacón","Liga Iberdrola","30","Sweden","Swedish, Liga Iberdrola, Forwards","","","https://media.guim.co.uk/aed1f8f944858675c3b5556b3ced4093e7e8f8f0/738_432_1388_1388","cropRatio=1388,1388&size=140,500,1000,1388","https://media.guim.co.uk/5a0acda288919b1c77e831f931193054e071b522/0_202_4000_2400","cropRatio=4000,2400&size=140,500,1000,2000,4000","","A jump of 60 places from 2018 shows how rejuvenated Asllani was in 2019. A hat-trick got her domestic year off to a good start but overall Linköping struggled and a move to CD Tacón, soon to be Real Madrid, was heavily rumoured after Asllani showcased the best of her game at the World Cup. Asllani scored in Sweden's first two games of the tournament and rounded things off with a sweeping first-time finish to set her side on the way to a bronze medal against England. Her touch, precision and movement stood out in France and she often made the difficult look ridiculously easy. It may take a while to see the best of her at struggling CD Tacón as they prepare for a big future but they have the perfect creative influence to build around in Asllani.","","","","","","header-image-day-1_alligator.png"
"36","27","-9","Ewa Pajor","Forward","Wolfsburg","Frauen Bundesliga","22","Poland","Other nationalities, Frauen Bundesliga, Forwards","","","https://media.guim.co.uk/e527a64cf011a15d7d9b5a97ffaa63a1b4d6ddcc/2581_108_3251_3251","cropRatio=3251,3251&size=140,500,1000,2000,3251","https://media.guim.co.uk/baa7fddd5d4254e57e140d46ccd471fed136d7c4/20_234_3968_2381","cropRatio=3968,2381&size=140,500,1000,2000,3968","","You have to be a supreme talent to beat Pernille Harder in the Bundesliga scoring charts. She ended last season with the Golden Boot after 24 goals – six more than her superstar teammate – and the Polish striker is still only 22. She scored in more games during 2019 than she failed to and is truly an extraordinary talent. She trails Harder this season but still has seven league goals of her own and her partnership with the Dane is now one of the deadliest anywhere in the world. Her two goals in a recent huge league win at Bayern Munich illustrated her ability to perform in big games and one can only hope we get to see Pajor in a major international tournament one day.","","","","","","header-image-day-1_alligator.png"
"37","38","1","Sara Däbritz","Midfielder","PSG","Division 1 Féminine","24","Germany","German, Division 1 Féminine, Midfielders","","","https://media.guim.co.uk/bd75d28d7e6fcb13b18adb781673f2b109eaad33/101_233_2969_2970","cropRatio=2969,2970&size=500,1000,2000,2969","https://media.guim.co.uk/b21eea542af4a6eca8e0c41c13a79ab0b16de6c6/0_82_4000_2401","cropRatio=4000,2401&size=140,500,1000,2000,4000","","A slight rise for Däbritz in 2019 demonstrates the consistency in her performances over the past couple of years. With Bayern Munich showing no signs of toppling Wolfsburg and a squad transition during the summer, it was no surprise to see the Germany playmaker move on and join PSG. With her injury worries behind her, everyone hoped to see the real Däbritz on the world stage in the summer and she did not disappoint. Dabritz found the net in three consecutive tournament games and added an assist as she promised to be Germany's star of the tournament in the absence of Dzsenifer Marozsán. A hat-trick against Ukraine in a recent qualifier and a few goals for PSG have got her new season off to a solid start and at 24 there's every chance there is still more to come.","","","","","","header-image-day-1_alligator.png"
"38","61","23","Sam Mewis","Midfielder","North Carolina Courage","NWSL","27","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/473183caebb4359501fb4aafccf8e251f1e748be/306_146_1771_1771","cropRatio=1771,1771&size=140,500,1000,1771","https://media.guim.co.uk/a36351479497efd74899a9cf08da7abe9a4922d9/0_0_5000_3000","cropRatio=5000,3000&size=140,500,1000,2000,5000","","As others grabbed the headlines in a successful year for both North Carolina Courage and the USA, the fact that Mewis played a pivotal role in both teams was no coincidence. The 27-year-old has had to wait a while for a major chance with her country but she took it in 2019 and at the World Cup at times kept the superb Lindsey Horan out of the starting lineup. Mewis kept Horan on the bench for the second round, quarter-final and final, her energy and tenacity in midfield earning her the nod from Jill Ellis and she did not let her manager down. She returned to club duty in top form too, forming an impenetrable partnership with Denise O'Sullivan that was once again the foundation of the Courage's success. She even popped up with a goal in the NWSL final against Chicago Red Stars.","","","","","","header-image-day-1_alligator.png"
"39","13","-26","Fran Kirby","Forward","Chelsea","FA WSL","26","England","English, WSL, Forwards","","","https://media.guim.co.uk/b08deb8917fc2873d16c6d31bf8836f3074e504b/1701_37_527_528","cropRatio=527,528&size=500,527","https://media.guim.co.uk/63262bdf7055737f8cfd689c07f98031c62b4d51/0_192_4161_2497","cropRatio=4161,2497&size=140,500,1000,2000,4161","","Kirby's 2019 was far from easy as injuries threatened to overwhelm her during a fluctuating year. At times, she showed how brilliant she can be but in the No 10 role for England she never looked as comfortable as she does in Chelsea's free-flowing attack. Kirby still managed eight WSL goals in the second half of last season and two more in the cup but has been managed more through the new season as she looks to regain full fitness. She showed only flashes of her brilliance at the World Cup, but was in the right place at the right time against Sweden to get England back in the third-place play-off. Despite not starting every game of the new WSL season, Kirby has three assists already, second only to Fara Williams.","","","","","","header-image-day-1_alligator.png"
"40","96","56","Yuki Nagasato","Forward","Chicago Red Stars","NWSL","32","Japan","Other nationalities, NWSL, Forwards","","","https://media.guim.co.uk/78425acc2b274835a1c1c9dac75f62b78968f2ee/435_119_543_543","cropRatio=543,543&size=140,500,543","https://media.guim.co.uk/ffb3f6167ebd57ff74db3b4d00ae3aa7c922e783/0_143_4680_2808","cropRatio=4680,2808&size=140,500,1000,2000,4680","","Her superb partnership with Sam Kerr may now be confined to the past but it doesn't make Nagasato's 2019 any less memorable. With her international career behind her, Nagasato's influence throughout the year for the Red Stars was evident in her stats - matching her eight goals with eight assists in a stunning personal campaign. Five of those goals came in the back half of the season as the pressure was ramped up and technically there are few better anywhere in the world than Nagasato. With Kerr on her way to Chelsea, Chicago will be grateful they have a player of Nagasato's quality in their squad as they look to go a step better in 2020.","","","","","","header-image-day-1_alligator.png"
"41","69","28","Jill Scott","Midfielder","Manchester City","FA WSL","32","England","English, WSL, Midfielders","","","https://media.guim.co.uk/e40d05002eea094cac7ac22b45e42b8549c75b81/701_258_924_924","cropRatio=924,924&size=140,500,924","https://media.guim.co.uk/bb8ffdd1c89c21aa25aa158d2f095d9e1f071574/0_79_4966_2980","cropRatio=4966,2980&size=140,500,1000,2000,4966","","Scott is one player who seems to have stepped up during Phil Neville's Lionesses tenure. Always having the ability to stretch her legs in her box-to-box role for club and country, Scott was one England's most important players throughout the year. She performed well at the World Cup and popped up inside the box after only three minutes to get the first goal in the quarter-final against Norway, which saw England's most convincing performance of the tournament. A VAR decision overshadowed a delightful flick around the corner to put Ellen White in on goal against the USA in the semis but a SheBelieves Cup, FA Cup and Continental Cup meant it was another really good year for the virtuoso midfielder.","","","","","","header-image-day-1_alligator.png"
"42","","Re-entry","Carli Lloyd","Midfielder","Sky Blue FC","NWSL","37","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/55e8d7860fc645d637c61df3337f1e2fd69d20b1/1622_197_913_913","cropRatio=913,913&size=140,500,913","https://media.guim.co.uk/5a3e1bb93527306778bb905958d72b6f42e47f44/0_0_4287_2572","cropRatio=4287,2572&size=140,500,1000,2000,4287","","There is a fair argument to be made that Lloyd is actually playing better this year than in 2015, when her hat-trick won the USA the World Cup. She had to play a squad role in France this time around and has made it clear she wants to remain a big part of the team but Lloyd has surely done enough in 2019 to convince her new head coach she has plenty to give. Lloyd found the net eight times for a Sky Blue FC side still struggling for form and while she wasn't always a starter for the USA, she hit 16 goals throughout the year for her country, three of them coming at the World Cup, and has scored in six of her past seven international games. Lloyd shows no signs of slowing down anytime soon.","","","","","","header-image-day-1_alligator.png"
"43","74","31","Griedge Mbock","Defender","Lyon","Division 1 Féminine","24","France","French, Division 1 Féminine, Defenders","","","https://media.guim.co.uk/893de0d5bf0e127b985aea16e3d8300129a97b09/905_74_576_576","cropRatio=576,576&size=140,500,576","https://media.guim.co.uk/3688d3dbb471214ff368f41000cc170689f967f9/32_135_3314_1989","cropRatio=3314,1989&size=140,500,1000,2000,3314","","There is no doubt Mbock has benefited from playing alongside a star such as Wendie Renard for club and country but Mbock is now close to surpassing her esteemed teammate. Perhaps she will never gain true recognition while Renard is around but Mbock at 24 is now asserting herself as one of the world's leading defenders. Calm and composed on the ball, she lacks the aerial dominance of Renard but has become a pivotal player for both Lyon and France. With all the talent in the world and not yet quite in her peak years, one can only wonder how much better Mbock will get and how much success she will enjoy in the future.","","","","","","header-image-day-1_alligator.png"
"44","","Re-entry","Hedvig Lindahl","Goalkeeper","Wolfsburg","Frauen Bundesliga","36","Sweden","Swedish, Frauen Bundesliga, Goalkeepers","","","https://media.guim.co.uk/999e1bb0b32e0331fcbd7d0e1f23ad5996b83a11/2134_107_1546_1545","cropRatio=1546,1545&size=140,500,1000,1546","https://media.guim.co.uk/e632988f77630c83c23255e07da46703851bf5aa/0_69_3478_2088","cropRatio=3478,2088&size=140,500,1000,2000,3478","","Lindahl's year looked to be getting off to a disappointing start as it became clear her time at Chelsea was coming to an end, but she remained the go-to goalkeeper for Emma Hayes in the major games. Her fingertip save from Caroline Weir in a big league game against Manchester City was a highlight but it was at the World Cup where the 36-year-old came to the fore. Lindahl was superb for Sweden throughout the tournament, saving a penalty against Canada in the second round, thwarting Germany a round later and doing everything she could and more to stop the Netherlands in the semi-final. Her performances earned her a deserved Ballon d'Or nomination for the best goalkeeper and also a move to the German giants Wolfsburg where she's quickly asserted herself as the No 1.","","","","","","header-image-day-1_alligator.png"
"45","73","28","Alyssa Naeher","Goalkeeper","Chicago Red Stars","NWSL","31","USA","American, NWSL, Goalkeepers","","","https://media.guim.co.uk/3590f4a1599421ed5ed849a4b029ab1942e272fb/1078_277_2309_2309","cropRatio=2309,2309&size=140,500,1000,2000,2309","https://media.guim.co.uk/8dc56d0f009bc2c2551fe8b70c819141560bc7dc/0_117_3000_1800","cropRatio=3000,1800&size=140,500,1000,2000,3000","","It was a big year for Naeher. She nailed down the spot as the USA's No 1 heading into the World Cup despite stiff competition and she did not let her side down. Naeher stood tall throughout the tournament and her finest moment came when she saved a Steph Houghton's penalty with five minutes to go in the semi-final against England. Back on domestic duties, Naeher helped Chicago Red Stars reach the NWSL final with a clean sheet against Portland Thorns in the semi-final, but could do little to stop a North Carolina Courage rampage in the final. Naeher was voted into the league's Second XI for her performances during the campaign.","","","","","","header-image-day-1_alligator.png"
"46","33","-13","Jackie Groenen","Midfielder","Manchester United","FA WSL","24","Netherlands","Dutch, WSL, Midfielders","","","https://media.guim.co.uk/a54095bee56bd3ea8ecbc317e4978093134990dc/731_75_676_676","cropRatio=676,676&size=140,500,676","https://media.guim.co.uk/0c3ef38d4551ff5d8996d820395c2bbefe662a6d/93_0_4756_2855","cropRatio=4756,2855&size=140,500,1000,2000,4756","","It has felt inevitable since the European Championships in 2017 that Groenen was destined for a big club once she decided to leave FFC Frankfurt. She once again starred for her country at the World Cup, scoring the memorable extra-time goal that clinched the Netherlands' spot in their first World Cup final, before joining Manchester United for their debut season in the WSL. Groenen has instantly become one of the team's key players and her passing ability has been on show since the opening game. Able to dictate games with the defensively solid Hayley Ladd behind her, Groenen continues to demonstrate her quality.","","","","","","header-image-day-1_alligator.png"
"47","37","-10","Steph Houghton","Defender","Manchester City","FA WSL","31","England","English, WSL, Defenders","","","https://media.guim.co.uk/9a5cdbf1d3d0d14fdfb3d52920103926947d99e4/1493_290_950_950","cropRatio=950,950&size=140,500,950","https://media.guim.co.uk/9b5e26ec770f00cbfe577c917e65de151c33dc56/138_290_5862_3517","cropRatio=5862,3517&size=140,500,1000,2000,5862","","The first half of the year went well for the Manchester City and England captain. She led her club to a domestic cup double and scored a memorable free-kick against the USA as she got her hands on a trophy with England at the SheBelieves Cup. She would almost duplicate that effort when England beat Cameroon at the World Cup, where Houghton propped up a defence that kept four clean sheets in a row on the way to the semi-finals. Unfortunately, a late penalty miss in the semi-final against the US was the lasting memory of the World Cup and not one Houghton deserved. She has returned to Manchester City and enjoyed a relatively solid start to the season as she looks to add more honours and possibly an Olympic medal to her CV in 2020.","","","","","","header-image-day-1_alligator.png"
"48","63","15","Irene Paredes","Defender ","PSG","Division 1 Féminine","28","Spain","Other nationalities, Division 1 Féminine, Defenders","","","https://media.guim.co.uk/9e63265eda9aae41365eeda93c4953ca23792ce9/1186_243_936_936","cropRatio=936,936&size=140,500,936","https://media.guim.co.uk/2e51b066cc445c0d37a71834dd818f700a1711a8/569_0_4550_2730","cropRatio=4550,2730&size=140,500,1000,2000,4550","","Paredes has always been a steady performer in the 100 and this year cracks the top 50 for the first time – it's hard to argue her talent doesn't deserve it. One of many PSG players to star in 2019, Paredes's dominance at the back and calmness on the ball set her apart. She rarely makes mistakes and has become a very solid performer, which is reflected in her third consecutive appearance in the top 100, moving up the rankings year after year. Paredes is capable of putting in big performances when it matters and she was part of the Spain defence that restricted the USA to two penalties in their meeting at the World Cup.","","","","","","header-image-day-1_alligator.png"
"49","92","43","Abby Dahlkemper","Defender","North Carolina Courage","NWSL","26","USA","American, NWSL, Defenders","","","https://media.guim.co.uk/3376d09602e1f0fb15c9f343f17188c225f290a9/1194_0_1102_1102","cropRatio=1102,1102&size=140,500,1000,1102","https://media.guim.co.uk/9ecd4d54cbe7bd38d55463fa00c93f47712ddfeb/70_142_3135_1881","cropRatio=3135,1881&size=140,500,1000,2000,3135","","While other bigger names and goalscorers took the plaudits for the USA during their summer World Cup success, Dahlkemper was undoubtedly one of the team's unsung heroes and key performers. At 26, the centre-back is now entering the peak years of her career and the silverware she already holds for both club and country is no accident. Whether it be her North Carolina Courage partnership with Abby Erceg or her USA partnership with Becky Sauerbrunn, a defence with Dahlkemper in it has every chance of success. She played all but eight minutes of her nation's World Cup triumph and picked up a second consecutive NWSL Championship medal, helping the team keep a clean sheet in the final against Sam Kerr's Chicago Red Stars.","","","","","","header-image-day-1_alligator.png"
"50","87","37","Sherida Spitse","Midfielder","Vålerenga","Toppserien","29","Netherlands","Dutch, Other leagues, Midfielders","","","https://media.guim.co.uk/76ebf6a747122f427a2e4b6574484537cbd8eb0b/1746_515_696_696","cropRatio=696,696&size=140,500,696","https://media.guim.co.uk/b33b0145ab1d3e856ef2ae7135e2dd03f9616b4c/0_0_4285_2570","cropRatio=4285,2570&size=140,500,1000,2000,4285","","Despite her pivotal role in helping Netherlands win their home European Championships in 2017, not many would have had Spitse down to head the assist rankings at this year's World Cup. But the midfielder created four goals as her side reached their first World Cup final and their second major tournament final in a row. The midfielder has found the net an impressive nine times in five Euro 2021 qualifiers so far and enjoyed another solid year in Norway with Vålerenga, but she could not help her side topple the dominant force that is LSK.","","","","","","header-image-day-1_alligator.png"
"51","74","23","Sofia Jakobsson","Forward","CD Tacón","Liga Iberdrola","29","Sweden","Swedish, Liga Iberdrola, Forwards","","","https://media.guim.co.uk/0592eae3864b79f7a7d5a0f20ef2d854b2d48b29/672_130_1231_1231","cropRatio=1231,1231&size=140,500,1000,1231","https://media.guim.co.uk/b0ab6e3fc729c2cef3c34143f2a78915331417d4/0_342_4782_2869","cropRatio=4782,2869&size=140,500,1000,2000,4782","","Like many others, Jakobsson's best moments of 2019 came at the World Cup. She had a solid end to the season with a Montpellier side who frustrated given their talent, finding the net several times before embarking on a new challenge post-tournament. Jakobsson was influential in her general attacking play, drifting out wide or going direct through the middle in her role in Sweden's attack, scoring a crucial quarter-final goal as her side came from behind to beat Germany before she found the net again with a superb curling effort in the third-place play-off against England. Along with her teammate Kosovare Asllani, Jakobsson swapped France for Spain with CD Tacón, who will in 2020 become Real Madrid. Two goals in nine games for a side rooted to the bottom of the table is not spectacular but there are surely bigger things to come for the club.","","","","","","header-image-day-1_alligator.png"
"52","31","-21","Sara Björk Gunnarsdóttir","Midfielder","Wolfsburg","Frauen Bundesliga","29","Iceland","Other nationalities, Frauen Bundesliga, Midfielders","","","https://media.guim.co.uk/d378de10cb631f3998773d9a48893e88090a341e/939_88_781_781","cropRatio=781,781&size=140,500,781","https://media.guim.co.uk/f6ac161e8cecaad0e3127553dad07f9a9324e403/44_86_1825_1095","cropRatio=1825,1095&size=140,500,1000,1825","","Gunnarsdóttir is again the only Icelandic entrant in the 100 and for the first time drops out of the top 50. But it is a testament to the 29-year-old's remarkable consistency that she has gained such a reputation around the world as a solid, reliable and classy midfielder who has for several years been a mainstay of one of Europe's most successful teams. If anything, Gunnarsdóttir has gone from strength to strength in the new season and really started to add goals to her game after a summer refreshing while others were at the World Cup. She has found the net six times already this season as Wolfsburg once again lead the way in Germany and appear to have a good chance of going far in Europe, with Gunnarsdóttir once of the stars leading the charge.","","","","","","header-image-day-1_alligator.png"
"53","","New entry","Barbara Bonansea","Midfielder","Juventus","Serie A","28","Italy","Other nationalities, Other leagues, Midfielders","","","https://media.guim.co.uk/5d1fdf26b30d98d59474609f376671c9aa93764e/2137_42_853_853","cropRatio=853,853&size=140,500,853","https://media.guim.co.uk/f23a76c9f2a9dba661910321a6a5bed51981fb7b/186_34_3746_2249","cropRatio=3746,2249&size=140,500,1000,2000,3746","","Bonansea has always been one of the most gifted players in Europe and it's just a shame it has taken until she is 28 for people to see it on the world stage. While Bonansea had a huge effect on another stellar domestic year for Juventus, it was at the World Cup where the forward demonstrated what she is truly capable of. Six goals in quick succession for Juve sent her into the tournament in good form and two goals in Italy's first game against one of the favourites, Australia, really announced her to the world. She was influential as underdogs Italy progressed to the quarter-finals, where they lost to the runners-up the Netherlands.","","","","","","header-image-day-1_alligator.png"
"54","","New entry","Kadidiatou Diani","Forward","PSG","Division 1 Féminine","24","France","French, Division 1 Féminine, Forwards","","","https://media.guim.co.uk/d2d0dcad24fc7f2d035114c73ebd3e829cdf7697/3171_889_958_958","cropRatio=958,958&size=140,500,958","https://media.guim.co.uk/1d2ac7582a8ede619e6a84dc8231d7a1abc9afc3/0_124_5349_3209","cropRatio=5349,3209&size=140,500,1000,2000,5349","","Four goals at the end of 2018 set the tone for Diani and she opened her account for 2019 with two more in a superb 3-1 win against the USA at the SheBelieves Cup. Diani found the net a further five times for PSG before the end of the season and went into her first World Cup in top form. A flying winger able to play on both sides and with plenty of skill, Diani did not find the net in France but didn't let it affect her form back at PSG, with four goals in one game against Metz a particular highlight. She has been on target a further five times since and while there is some understandable lack of consistency still at 24, Diani has all the hallmarks of a player on the verge of becoming a top-class player.","","","","","","header-image-day-1_alligator.png"
"55","86","31","Asisat Oshoala","Forward","FC Barcelona","Liga Iberdrola","25","Nigeria","Other nationalities, Liga Iberdrola, Forwards","","","https://media.guim.co.uk/d5a7d2f86db5c8f7f48579bf011d8a0c404dbd46/1656_502_1972_1972","cropRatio=1972,1972&size=140,500,1000,1972","https://media.guim.co.uk/05ab8068ecbb5e1b7b5c4043ce29f4002c74667b/0_31_4288_2573","cropRatio=4288,2573&size=140,500,1000,2000,4288","","After helping Nigeria to the Africa Cup of Nations title at the end of 2018, Oshoala embarked on an exciting new journey with Barcelona in 2019 after some time in China. It couldn't have started much better as Oshoala found the net three times in her first two games and she has been one of the club's most consistent goalscorers since. She scored a further four goals before finding the net in the Champions League final against Lyon. With her pace, skill and finishing ability, Oshoala was on target at the World Cup but her best form has been seen this season. Two goals in a 6-1 demolition of Atlético Madrid set the tone before she went on to find the net in five consecutive games, scoring six goals.","","","","","","header-image-day-1_alligator.png"
"56","80","24","Caroline Seger","Midfielder","FC Rosengård","Damallsvenskan","34","Sweden","Swedish, Other leagues, Midfielders","","","https://media.guim.co.uk/1ec23735013f77440c1c0c9530723285af1d874a/418_198_1186_1185","cropRatio=1186,1185&size=140,500,1000,1186","https://media.guim.co.uk/3105b43ad78d16a944d0799f2d17fad356bdbc7c/0_157_3531_2119","cropRatio=3531,2119&size=140,500,1000,2000,3531","","Despite entering the twlight years of her career, the Swedish legend jumps back up the rankings this year, in no small part due to her role in helping FC Rosengård win back the Damallsvenskan title in 2019. The midfielder started 16 of the team's 22 league games, finding the net three times from midfield including a goal against last season's champions, Pitea IF. Unsurprisingly, her quality and experience ensured she was a regular for Sweden at the World Cup and there were few players more deserving of a bronze medal than Seger. She played 90 minutes in all but two of their seven games, plus extra-time against the Netherlands in the semi-final defeat. It may be the last time we see Seger at a World Cup but her performances at club level show she has plenty left to give.","","","","","","header-image-day-1_alligator.png"
"57","43","-14","Lina Magull","Midfielder","FC Bayern Munich","Frauen Bundesliga","25","Germany","German, Frauen Bundesliga, Midfielders","","","https://media.guim.co.uk/330fdec2721395681236f76ee776f96eb447d5e4/575_206_1927_1927","cropRatio=1927,1927&size=140,500,1000,1927","https://media.guim.co.uk/949c26ee0769c2404a29bffc4eb66cfd579e79e2/403_42_1947_1168","cropRatio=1947,1168&size=140,500,1000,1947","","Magull scored three goals in the final three games of 2018 to tee her up for a busy 2019. Her vision and passing ability couldn't help Bayern Munich topple Wolfsburg domestically but did play a major part in guiding them to the Champions League semi-finals. Magull was in good form at the World Cup, finding the net in the group stage before giving her side the lead in the quarter-final against Sweden, a match that ended in Germany's elimination. The Bayern team changed around her a lot over the summer but Magull is still performing at a high level and on the international stage scored a hat-trick in last month's Euro 2021 qualifier against Ukraine. Only 25, Magull is now entering the peak years of her career.","","","","","","header-image-day-1_alligator.png"
"58","41","-17","Ji So-yun","Midfielder","Chelsea","FA WSL","28","South Korea","Other nationalities, WSL, Midfielders","","","https://media.guim.co.uk/4d8f5b304bb6235116015ac8e25b54f4b19e31c3/1040_366_1590_1590","cropRatio=1590,1590&size=140,500,1000,1590","https://media.guim.co.uk/4858712e735210c2b28097cabf5efcf0318912f8/0_254_3742_2246","cropRatio=3742,2246&size=140,500,1000,2000,3742","","This is Ji's fourth year in the top 100 but her first outside the top 50. She is perhaps a victim of a year where the World Cup dominated but one of the finest – if not the finest – of the WSL's imports shows no sign of slowing down. With pace, movement, trickery and finishers all around her at Chelsea, Ji is still dominating games, creating endless chances and chipping in with goals for the side who have set the pace at the top of the league this season. Her year started with two goals to haul Chelsea back from 2-0 down against Manchester City before four goals in three games for South Korea set her up for the World Cup. Her nation underwhelmed in France but Ji has gone from strength to strength for Chelsea, her sublime free-kick against Lyon a highlight. She already has three goals to add to her three assists this season and it is a joy to watch her continuously star in the WSL.","","","","","","header-image-day-1_alligator.png"
