"Rank","Last.year","Up.or.down","Name","Position","Club.on.1.Dec.2021","League","Age.on.1.Dec.2021","Nationality","Facewall.cell.image.GRID.src","Facewall.main.image.GRID.src","Profile"
44,"71","27","Lena Oberdorf","Midfielder","Wolfsburg","FLYERALARM Frauen-Bundesliga",19,"Germany","https://media.guim.co.uk/65329a100388063a2078ae610bf29e967cfb7859/933_113_748_748/500.jpg","https://media.guim.co.uk/3db5da7090f2f87a34df70f73963422320fa50bc/0_0_3643_2186/500.jpg","It is no surprise to see Oberdorf rocket up the rankings this year. What’s scary about her talent is she is already one of the best in her role at 19 years old. Her positional play combined with her endless energy makes her a tough defensive midfielder to play against and the fact she is nowhere near her peak years yet makes it all the more remarkable. There can be no doubt Oberdorf is well on the way to being one of the world’s best and Wolfsburg will be delighted to have tied her down on a deal until 2024 at the start of the year."
45,NA,"Re-entry","Fridolina Rolfö","Forward","Barcelona","Primera Iberdrola",28,"Sweden","https://media.guim.co.uk/250090566dd6d0bdaea99785aa84ac27a3b5327f/980_0_1646_1647/500.jpg","https://media.guim.co.uk/106737e45f16a4ed78f04d12b8108953e62fb4ba/0_65_3392_2036/500.jpg","Rolfö returned from injury at the back end of last year and instantly showed why she is such a gifted player, and there can't be a greater compliment for a player than being signed by Barcelona after a treble-winning season. It’s testament to Rolfö’s attacking qualities she hasn’t looked out of place in Catalonia, scoring four goals in her opening 10 league games in Spain as well as creating several more. Her three goals in Tokyo also played a big role in Sweden’s march to the final and subsequent silver medal. Overall a really good year for Rolfö."
46,"5","-41","Dzsenifer Marozsán","Midfielder","OL Reign","NWSL",29,"Germany","https://media.guim.co.uk/1a4937bba42e4b0bdaed0690e14454733448f994/320_489_2174_2173/500.jpg","https://media.guim.co.uk/01a386afa23b199fe294a38213e7a4a32680c088/222_47_1495_897/500.jpg","Marozsán drops well out of the top 10 this year and shows just how strong the women’s game now is given the wizardry she continued to show at times during 2021. The Germany star ended last season with the most assists in the French league, not for the first time, before embarking on a new, temporary adventure in the USA with OL Reign, where she continued to show what she can do with a ball at her feet. There are few better at creating chances for others and Marozsán certainly enjoyed another good year doing what she does best."
47,NA,"New entry","Lauren Hemp","Forward","Manchester City","Barclays FA Women's Super League",21,"England","https://media.guim.co.uk/a271b2ee80a038125b11e41c6ec089f37113f637/821_107_764_763/500.jpg","https://media.guim.co.uk/7b33f2096961ac0fb8bf83412a19bf65fb396f1f/0_138_3310_1986/500.jpg","Hemp shooting straight into the top 50 above some household names says everything about the year she has had. Her return from injury at the end of 2020 instantly made Manchester City a greater force. Her speed, agility and skill down the left has made her a potent weapon for club and country and she is one of the best wingers in the WSL. Still only 21, Hemp last season weighed in with six goals and eight assists in the league and already has three goals this season despite her team’s struggles."
48,"54","6","Cristiana Girelli","Forward","Juventus","Serie A TIMvision",31,"Italy","https://media.guim.co.uk/747dfa0098ab2439f6e0ecdea6e710faa17a467e/1389_255_959_959/500.jpg","https://media.guim.co.uk/0dbd5b173aaf2c4ff8eb78964d716783ded46cbc/0_140_3564_2138/500.jpg","Girelli only moves up six places from 2020 but it’s enough to make her first appearance in the top 50 and deservedly so given her goal contributions once again this year. Her 22 goals saw her end last season as the top scorer comfortably in Serie A, helping Juventus to another league title. Three goals this season is a solid start while her two in the Champions League were crucial against Wolfsburg and she already has seven for Italy in her national team’s opening World Cup qualifiers."
49,"67","18","Ann-Katrin Berger","Goalkeeper","Chelsea","Barclays FA Women's Super League",31,"Germany","https://media.guim.co.uk/da78ace18c0132fd3e50bb30b2c8b50346832435/1141_36_1081_1082/500.jpg","https://media.guim.co.uk/134d1ff5727617ae31bc470e284135e6c3e8a817/351_137_3265_1959/500.jpg","A flick of a wrist arguably won Chelsea the WSL last season, Berger's stunning one-handed save from Lauren Hemp in what was essentially a title decider against Manchester City just one of many key contributions this year from the goalkeeper who gets her highest ranking to date. Whether it was big penalty stops in Europe or her superb saves in other games, Berger was a huge presence for Chelsea as they completed a domestic treble in 2021, and she played a huge role in the Blues reaching a first European final."
50,"40","-10","Sara Däbritz","Midfielder","PSG","D1 Arkema",26,"Germany","https://media.guim.co.uk/03f33b62546c915d298c8a6abd910b282fbeefd2/1665_223_1029_1029/500.jpg","https://media.guim.co.uk/6247c7517afeca28a2dca53e6136cca85b2e99e5/0_158_3000_1800/500.jpg","Däbritz played a key role in PSG’s success this year even if her eight assists last season perhaps went unnoticed among the goals scored by the team’s blistering front three. Her six assists already this season only underline her importance, a tally unmatched by anyone else in the league to date. The 26-year-old is entering her peak years in top form for both PSG and Germany. One of the very best in her role anywhere in Europe and sneaks into the top 50 once again."
51,NA,"Re-entry","Tobin Heath","Forward","Arsenal","Barclays FA Women's Super League",33,"USA","https://media.guim.co.uk/a89fe5a8261c8618be3932082cc451209b48ae65/1480_742_2093_2093/500.jpg","https://media.guim.co.uk/348f0812d538dd9b12839dbfb59118da36775c8d/934_159_3207_1924/500.jpg","Despite a stop-start year affected by several injuries, Heath featured regularly when fit and was in top form when her first injury hit at Christmas, scoring and assisting regularly for Manchester United with a stunning Manchester derby strike a particular highlight. She didn’t return until the summer but did so with two goals in two games for her national team and a regular role in Tokyo before joining the club she supported as a child, Arsenal. The 33-year-old enjoyed a good start in London, registering several assists and scoring her first goal in the Champions League before another injury hit last month."
52,NA,"Re-entry","Megan Rapinoe","Forward","OL Reign","NWSL",36,"USA","https://media.guim.co.uk/a60dbdea5defbf7c9321fea958242601c1e5e055/643_88_1215_1215/500.jpg","https://media.guim.co.uk/1e97b40548b3ed66847fe7ec3a8f92c2e7d14ca7/141_478_2340_1404/500.jpg","Rapinoe returns to the list this year and, as ever, popped up at big moments for both her club and country in 2021. Domestically she was in fine form for OL Reign post-Olympics, ending the season with the best goal/assists rate per 90 minutes in the league, her goals against Portland Thorns of particular importance. Rapinoe also hit double figures for the USWNT in 2021, and again came to prominence in the bronze-medal match against Australia, her two early strikes putting the USA on the road to another medal."
53,"21","-32","Crystal Dunn","Defender","Portland Thorns","NWSL",29,"USA","https://media.guim.co.uk/9f0f4cf5643d3e61eb7dc0a8a1fbfe278430115c/635_140_659_659/500.jpg","https://media.guim.co.uk/8abd6c847c0d0a26405bf155cc216a5355939606/380_379_3490_2095/500.jpg","Dunn drops down the list this year but still showed her quality after a busy year which saw her once again play regularly for her country and Portland Thorns in a range of positions. Dunn’s all-action, energetic style – particularly as a full-back in the national team – and her ability to perform in several different positions has always been one key element of what makes her a special player."
54,"17","-37","Amel Majri","Forward","Lyon","D1 Arkema",28,"France","https://media.guim.co.uk/445d38abc4702dca3a4c636a9f4e6edaed37316a/1185_48_1891_1891/500.jpg","https://media.guim.co.uk/dcec48f1691ef8650e1207ebadcebe763af74eec/693_969_2667_1601/500.jpg","Majri ended last season with 10 goals after the arrival of Sakina Karchaoui at Lyon finally allowed her to play further forward rather than at left-back on a regular basis. Majri has enjoyed a solid year but drops from last year when her numbers were ridiculously high, though she is still influencing games for Lyon and has two goals and three assists in the league early on in the new campaign. Her ability and technique on the ball still makes her one of the very best left-sided players in the women’s game."
55,"49","-6","Khadija Shaw","Forward","Manchester City","Barclays FA Women's Super League",24,"Jamaica","https://media.guim.co.uk/16b8896568656833880094a925db46634c30cbab/812_150_1132_1132/500.jpg","https://media.guim.co.uk/0b9ada6f08e9baf797c7b726a677beaecf8d5984/1238_109_1475_885/500.jpg","Shaw made the big move anticipated this year, leaving Bordeaux and choosing WSL side Manchester City during the summer, but her slight drop from 2020 possibly emphasises she is still settling into life with a struggling City team this season. Shaw ended last season as the top scorer in the French league, no easy feat when not playing for either Lyon or PSG but only proving her ridiculous eye for goal and clinical finishing ability. Only two league goals so far for City but a hat-trick in the FA Cup showed her ruthless side and there’s no doubt it will click sooner rather than later given her natural ability."
56,"10","-46","Delphine Cascarino","Forward","Lyon","D1 Arkema",24,"France","https://media.guim.co.uk/6a0b9edf6bc99a6feb8089bf6e290653621a33e5/954_35_1727_1728/500.jpg","https://media.guim.co.uk/d0de090c21b3ee5af95581135f0e1f2ddf637186/0_166_2649_1589/500.jpg","Cascarino drops down from last year but that only goes to show how well she stood out in 2020 after another solid year in 2021. Cascarino continued to be a big attacking threat for Lyon, ending last season with seven assists in the league. The France international has forged a solid partnership with Ellie Carpenter down the right for Lyon, the latter’s ability to get forward allowing Cascarino to often come inside and influence play across the pitch. Always with an eye for a goal, she remains a key player for Lyon and France."
57,NA,"Re-entry","Marta","Forward","Orlando Pride","NWSL",35,"Brazil","https://media.guim.co.uk/9014efb31a34198aae617caf19d759ea7df2402f/1817_383_2183_2183/500.jpg","https://media.guim.co.uk/380349b0bf57ce44e47493915c280d6e780979bb/0_97_3500_2102/500.jpg","One of the all-time greats gave a few reminders this year that she’s not done yet. At 35, Marta found the net four times for Orlando Pride in what was another tough season for the NWSL side, but Marta was often at the heart of their attacking play. She also remained a key component of the Brazil national team, particularly in Tokyo where she scored three times during the Olympics and showed the world what she still has to offer. Rumours of a move back to Brazil would be a loss to the NWSL but Marta remains one of the finest with a ball at her feet."
58,NA,"Re-entry","Christen Press","Forward","Angel City","NWSL",32,"USA","https://media.guim.co.uk/85341252379a7b1b21d50b259c6eea63a9446293/480_83_717_717/500.jpg","https://media.guim.co.uk/987f28f2b89f6f1d93e1541035edaea891aade26/0_199_3144_1886/500.jpg","Press was in fine form at the start of the year, enjoying a good end to her time with Manchester United with several goals towards the end of the 2020-21 WSL season in England. Five goals for the USA followed, plus another in the Tokyo Olympics as Press continued to be one of the leading attacking threats under Vlatko Andonovski this year. Between opting out of subsequent national team camps and signing for new NWSL franchise Angel City, Press hasn’t featured since Tokyo."
59,"77","18","Caroline Weir","Midfielder","Manchester City","Barclays FA Women's Super League",26,"Scotland","https://media.guim.co.uk/5eff966a74de2ed439179ee696d8ceb7422f3349/490_42_1316_1316/500.jpg","https://media.guim.co.uk/48ef36a5cae502a609ce30018d0ccc9642b99b28/262_390_4298_2579/500.jpg","Weir went from strength to strength this year and another rise in the rankings backs that up. The Scotland international found the net 18 times from her midfield role through 2021 for club and country and was also a Fifa Best nominee for her superb strike against Manchester United back in February, the second time in a row she’s been nominated for a goal in a derby. Her skill, vision and eye for a world-class strike has made Weir one of the most potent attacking midfielders in the WSL."
60,NA,"New entry","Katie McCabe","Defender","Arsenal","Barclays FA Women's Super League",26,"Republic of Ireland","https://media.guim.co.uk/d1bd9ff0ec39d49b6ebe6fea64df43dd90d1917b/1655_219_1214_1214/500.jpg","https://media.guim.co.uk/2eeadbf99848e98cc099e4ec6a0f7e6ad53fbeae/0_206_2811_1687/500.jpg","McCabe is one of the highest new entrants in the 100 this year but also one of the most deserved as she has progressed into one of the best attacking full-backs in the game. Her four goals in eight league games so far this season has already matched her tally for the last campaign, while she also has three in four for her country in World Cup qualifying. At 26, she is emerging as a real leader for both club and country but it’s her numbers that set her apart given she is well into double figures for assists across 2021."
61,"95","34","Grace Geyoro","Midfielder","PSG","D1 Arkema",24,"France","https://media.guim.co.uk/179d3130309161343c83114125590a61bba2f118/386_67_1031_1030/500.jpg","https://media.guim.co.uk/bcd7a2e96fd388c90d36763ab93f0d56789f122d/0_136_3342_2006/500.jpg","Geyoro’s big jump in this year’s rankings shows her importance to both PSG and France at the heart of the midfield is becoming more appreciated worldwide. Her ability to build play is making her one of Europe’s top midfielders, and it’s no shock she is at the heart of the PSG side which finally ended Lyon’s domestic dominance. A place in the Champions League squad of the season only emphasised her growing reputation and at just 24 there should still be plenty more to come."
62,"69","7","Sofia Jakobsson","Forward","Bayern Munich","FLYERALARM Frauen-Bundesliga",31,"Sweden","https://media.guim.co.uk/c3b12af80ca7e1bdbc45c488dc5d40315b26a873/877_92_1010_1010/500.jpg","https://media.guim.co.uk/a9357f69e60b06e73619c9f95f2e969bfd1df461/0_122_4200_2521/500.jpg","Jakobsson enjoyed a good start to the year with Real Madrid, consistently supplying goals and assists for her team as we’ve come to expect from the Swede. She played a key role for her country in the summer Olympics, registering three assists with her driven attacking play down the wings and picked up a silver medal for her efforts. A move to Bayern Munich has followed. She has had a steady start in Bavaria despite struggling for a regular starting spot, but has shown her quality when called upon by Jens Scheuer."
63,NA,"New entry","Esther González","Forward","Real Madrid","Primera Iberdrola",28,"Spain","https://media.guim.co.uk/b96dfa2c93207a6818ebd4655942922ecb08dcfb/1193_153_727_727/500.jpg","https://media.guim.co.uk/38252f270eb305ff2abc016e5869244807f99184/1497_0_2785_1672/500.jpg","González makes the 100 for the first time but surely not the last, and even has a decent claim to have been a little higher. Her 29 goals for Levante last season saw her as the only player to even get remotely close to top scorer Jenni Hermoso, before a big move to Real Madrid followed. Despite a tough start to the season for the team, González has five goals in her opening eight games and a remarkable seven in just three World Cup qualifiers for Spain. Absolutely prolific all year."
64,"63","-1","Melanie Leupolz","Midfielder","Chelsea","Barclays FA Women's Super League",27,"Germany","https://media.guim.co.uk/6e37a5709a568fddbf1d8070523a7200bb5593d0/1155_9_1328_1328/500.jpg","https://media.guim.co.uk/6ed2327f0860ca6190025440913f99996d08cdee/0_129_2299_1380/500.jpg","Leupolz proved to be such a key signing for Chelsea last season, playing a role which allowed the level of talent in the Blues' attack to flourish in a way perhaps it hadn’t been able to in previous seasons. An ability to link play but protect her defence, Leupolz was always a go-to player for Emma Hayes in big games and even occasionally popped up with a big goal through what can only be described as an almost perfect first full year in England for the Germany midfielder."
65,NA,"Re-entry","Hedvig Lindahl","Goalkeeper","Atlético Madrid","Primera Iberdrola",38,"Sweden","https://media.guim.co.uk/9ba43e591c9d08fd13f98b325c97afccec376366/508_126_1111_1111/500.jpg","https://media.guim.co.uk/8962bdbe9872f2c0b5fc2fe254b3245077e6ad64/0_127_3348_2009/500.jpg","Lindahl often seems to save her best for the biggest stages, and while the summer Olympics only ended in another silver medal for the goalkeeper, Lindahl couldn’t have done much more to get gold. Almost flawless throughout the tournament, the 38-year-old saved two penalties in the final shootout against Canada but it still wasn’t enough for Sweden. Another solid year at club level with Atlético too, Lindahl may still have another tournament or two in her with her form showing no sign of dipping."
66,"76","10","Ellie Carpenter","Defender","Lyon","D1 Arkema",21,"Australia","https://media.guim.co.uk/5755cfea8488fd8755a56dfa2866d601208b831a/1351_239_908_908/500.jpg","https://media.guim.co.uk/0de9e867bbb5d8dbf52b40f732e38ceca6477d10/0_66_4735_2841/500.jpg","Carpenter only confirmed her status as one of the best full-backs in the world with a consistent year in 2021. Her move to Lyon has added an extra layer to her game, while her ability to get forward from full-back is unmatched by many and she can often be found influencing games at the top end of the pitch, forging a good partnership with Delphine Cascarino on Lyon’s right flank. Her sending-off in Australia's Olympic semi-final defeat by Sweden was a low moment for a player still very young but there’s no doubt she’s still on the way to a top-level career."
67,NA,"New entry","Barbra Banda","Forward","Shanghai Shengli","Chinese Women's Super League",21,"Zambia","https://media.guim.co.uk/09b05573d94ff825ca1af8615e39958711a08d28/2014_367_894_894/500.jpg","https://media.guim.co.uk/34138ef6da6c38614e7cbc5e147f0aa441b9209a/63_0_1875_1126/500.jpg","Many within the women’s game knew of Banda’s talents heading into this year, but to a more casual audience the summer Olympics saw her rise to prominence with her quite stunning performances for the tournament's lowest-ranked side, Zambia. Banda may well be the first player to score back-to-back Olympic hat-tricks and not win either game, but her six-goal haul against European champions Netherlands and again in a thrilling 4-4 draw with China were two of the moments of the year. Her eye for goal is incredible and, at just 21, no doubt the world’s top clubs will be taking a close look this winter."
68,"79","11","Marta Torrejón","Defender","Barcelona","Primera Iberdrola",31,"Spain","https://media.guim.co.uk/2524ffa61a2ed8bd2d330e9e0a42b8302f5d3dd5/775_172_1991_1991/500.jpg","https://media.guim.co.uk/d651128b2d2660c37a1fdb00273576ac8a8c933f/991_1049_4133_2478/500.jpg","It says much about Torrejón’s attacking threat that from full-back she ended last season with double figures for goals. At 31, the attacking defender is one of the most experienced heads in a successful Barcelona side and she still has a huge influence on the team at both ends of the pitch. A club legend, she made her 300th club appearance for the Catalans this year. Aside from her 10 goals, Torrejón also registered double figures for assists in the league in 2021 and played a vital role in the treble-winning season."
69,NA,"Re-entry","Linda Dallmann","Midfielder","Bayern Munich","FLYERALARM Frauen-Bundesliga",27,"Germany","https://media.guim.co.uk/e33142d7eb7339f891325f074de3bb715aed60f8/1056_33_748_748/500.jpg","https://media.guim.co.uk/0a56ae4bc09794b6baa29d3b6750a4b202d92141/90_72_2256_1354/500.jpg","Nobody had a higher rate of assists per 90 minutes in the Bundesliga last season than Dallmann, and that says much of what you need to know about her influence on the Bayern Munich team and their deserved title success in 2020-21. Dallmann has become one of the best creative players in Europe, whether it be direct assists or passes that help create openings, Dallmann is establishing herself as a top player and ahead of next year’s Euros is really one to watch for Germany."
70,"88","18","Lia Wälti","Midfielder","Arsenal","Barclays FA Women's Super League",28,"Switzerland","https://media.guim.co.uk/bf1c774d51c59c1868dbeb3666971b3a260e83f0/2472_481_1221_1221/500.jpg","https://media.guim.co.uk/30c658c2bbe0296aaa6675d80dfc2e1755c3ef2a/1235_158_2092_1255/500.jpg","Wälti’s role in the Arsenal team perhaps goes underappreciated, but it’s a crucial one as she facilitates the level of attacking talent ahead of her. The defensive midfielder has established herself as one of the best in her position, an ability to spot a pass to those ahead which helps unlock Arsenal’s threat level up front like very few others. She deservedly rises slightly in the rankings this year. Wälti can control games with ease and has kept her role in the Arsenal team since the arrival of new coach Jonas Eidevall."
71,NA,"Re-entry","Carli Lloyd","Forward","NJ/NY Gotham","NWSL",39,"USA","https://media.guim.co.uk/68f17c996b52b67b37c1e7fed90c15417016fe7c/1286_76_1004_1004/500.jpg","https://media.guim.co.uk/d8ad775ff5acb78a0f21a7bc83d91113f7f2645c/76_201_3479_2088/500.jpg","Retirement means this is the last time Lloyd will appear in the 100, and she goes out on the back of a very solid year which saw her gain one last medal with her country. No one contributed more goals to the USA throughout the year as Lloyd hit double figures, including two in the Olympic bronze-medal match against Australia to round off her last major tournament. Four goals in a shorter domestic season for NJ/NY Gotham also helped her club to the play-offs where she finally bowed out."
72,NA,"New entry","Stephanie Labbé","Goalkeeper","PSG","D1 Arkema",35,"Canada","https://media.guim.co.uk/8f9d20696487eb417984f5f6a5149819f1db905f/1378_79_1142_1143/500.jpg","https://media.guim.co.uk/ffe89abcc2bd09e4892c98c3671d52112364b408/137_14_1806_1084/500.jpg","It would be unfair to label Labbé’s 2021 solely around the Tokyo Olympics given the Canadian goalkeeper played a regular role for Rosengård in the first half of the season, leaving the Swedish side at the top of the Damallsvenskan table when she joined the French champions PSG. Her exploits in Tokyo, though, became one of the moments of the year, her penalty saves both in normal time and in shootouts playing a pivotal role in her team walking away with the gold medals."
73,NA,"Re-entry","Deyna Castellanos","Forward","Atlético Madrid","Primera Iberdrola",22,"Venezuela","https://media.guim.co.uk/ef9c4abcc2e4bd1b0f4170c4e413741e7945b52f/1151_31_830_830/500.jpg","https://media.guim.co.uk/7793c9e172b6143ad66a5bd3c439721eb811e38a/109_43_1678_1007/500.jpg","Castellanos took no time settling into her first full season with Atlético Madrid, and despite falling short of some of their rivals in the league, the young Venezuelan sensation hit 13 goals last season and has six in just 10 games already in the new campaign, fulfilling the promise that once made her one of the most talked about youngsters in the world. Given how long her potential has been discussed, it’s easy to forget she is still only 22 and has a lot more to come, but she is certainly showing the talent wasn’t all just talk."
74,NA,"New entry","Melvine Malard","Forward","Lyon","D1 Arkema",21,"France","https://media.guim.co.uk/e3ef81415fb313e090f0433bd6bc8e31aa7be7fa/2204_205_780_780/500.jpg","https://media.guim.co.uk/e5865cd552f37571aad37dba8e7068758fa3d3bd/0_1_3500_2101/500.jpg","Malard has taken on the goalscoring responsibility expected of her at Lyon, with Ada Hegerberg injured and Eugenie Le Sommer on loan in the USA, already scoring seven goals in the league this season, a tally beaten only by PSG’s Marie-Antoinette Katoto. The talented 21-year-old is already showing composure in front of goal beyond her years for one of Europe’s top teams, while scoring her first goals for her country at the end of October in a World Cup qualifier. A deserved first appearance in the rankings and it will surely not be the last time Malard makes our 100."
75,"91","16","Beth Mead","Forward","Arsenal","Barclays FA Women's Super League",26,"England","https://media.guim.co.uk/164cbd7178d62dbe1a856d3b6674fb70fe86cc70/612_138_1262_1262/500.jpg","https://media.guim.co.uk/429991b1c0d90d805a57bd405fb0ec5fb7be43b9/0_102_3834_2301/500.jpg","Mead’s year has peaked right at the very end, having bounced back from the disappointment of missing out on the Olympics with some of her best form for both Arsenal and England since the new season started. Mead had a solid first half of the year but since the summer has already matched her goal tally from last season and continued to be as good as anyone at creating goals for her teammates, while a recent hat-trick at Wembley for England got her off to a good start under Sarina Wiegman."
76,"59","-17","Jill Roord","Midfielder","Wolfsburg","Barclays FA Women's Super League",24,"Netherlands","https://media.guim.co.uk/c83b4c94a396ec887f22e644307b36239d7778bc/1163_115_1268_1268/500.jpg","https://media.guim.co.uk/65a304da80479478f55cafada4523f39a22b5d69/0_315_3915_2349/500.jpg","Roord made the move from Arsenal to Wolfsburg over the summer and a return to Germany really seems to have reinvigorated the 24-year-old, whose link up with Tabea Waßmuth in particular has been impressive. Roord has five goals in her opening nine league games for Wolfsburg, two more in the Champions League, while a recent hat-trick for the Netherlands only emphasised her return to scoring form. Roord has been around at the top level for a while now but at still just 24 possibly has another level to go to after a great end to the year."
77,"64","-13","Caroline Seger","Midfielder","Rosengård","OBOS Damallsvenskan",36,"Sweden","https://media.guim.co.uk/23db6a00861ccfc8ebc06e278e2f96ad0599c2d3/1199_107_692_692/500.jpg","https://media.guim.co.uk/259ddbb08803148eaa734e70d830f1b666e78e0a/307_517_3884_2331/500.jpg","At 36, the brilliant midfield maestro still has the talent to have a huge influence for club and country. For Rosengård, Seger was a constant in midfield as the club won back their domestic league title, while she was still a regular for a star-studded Sweden side, which says everything about what she still has to offer coming towards the back end of her career. Few would have deserved gold more in Tokyo, even if Seger had to settle for silver, it was another bit of silverware to go with her domestic success this year."
78,"27","-51","Ewa Pajor","Forward","Wolfsburg","FLYERALARM Frauen-Bundesliga",24,"Poland","https://media.guim.co.uk/fba97eff542632d3863a2a4daa7c82973bd0f823/1011_203_974_974/500.jpg","https://media.guim.co.uk/66a4b64b1846cbd3888cb8996eacafe6a3e90c3f/36_27_1908_1145/500.jpg","Pajor is another player we were robbed of seeing regularly in 2021, with the Poland striker missing the first half of the year through injury, but returning in spectacular fashion with eight goals in just six league games for Wolfsburg before the end of last season. At 24, Pajor has quickly established herself as one of the best in Europe but another injury has restricted her to three league appearances this season in which she has three league goals. Overall, more goals than games played tells a story but it’s been a frustrating year for the striker."
79,NA,"Re-entry","Mana Iwabuchi","Midfielder","Arsenal","Barclays FA Women's Super League",28,"Japan","https://media.guim.co.uk/126fe4106cff8b115d932ebea72269c95b780b54/920_193_1242_1242/500.jpg","https://media.guim.co.uk/4335e375d7c07eb57772c5858fb49a4da9c4ec9d/0_77_5067_3040/500.jpg","Iwabuchi finally returned to Europe this year but perhaps not where many expected as the Japanese superstar rocked up at Aston Villa in January. A spectacular winner against Tottenham showed what she was all about and her performances helped Villa to safety before she made the eye-catching switch to Arsenal in the summer. One of the best technical players anywhere in the world, Iwabuchi also found the net seven times for her country in 2021, including one at the Tokyo Olympics."
80,NA,"New entry","Nicole Billa","Forward","Hoffenheim","FLYERALARM Frauen-Bundesliga",25,"Austria","https://media.guim.co.uk/d13c0e09dcc442b947673614b144f4fdc2d16c35/517_216_1621_1621/500.jpg","https://media.guim.co.uk/91c04a5a2ecfed09f66631b8a3c5389ab48dd03c/269_223_2729_1637/500.jpg","Very few forwards anywhere in Europe enjoyed the year Billa did and despite being a first-time entrant she could arguably have ranked much higher. In a league dominated by Bayern Munich and Wolfsburg, the Hoffenheim forward ended last season with 23 goals, six clear of anyone else, and already has six this season, putting her up towards the top end of the rankings again. Not many players have an eye for goal like she does and we’ll see her on the biggest stage at the Euros with Austria next year."
81,NA,"New entry","Marina Hegering","Defender","Bayern Munich","FLYERALARM Frauen-Bundesliga",31,"Germany","https://media.guim.co.uk/801a735d9a9d735d3b909decac2738febbefcc60/770_149_1019_1019/500.jpg","https://media.guim.co.uk/e203e90d406d026d15fbed5e399ebbb324f81be4/0_231_3601_2161/500.jpg","Hegering has enjoyed a late blossoming in making the list for the first time at 31, but her role in Bayern Munich’s domestic triumph last season ensures it’s a deserved inclusion for the rock-solid German who has only in the last few years started to hold down a permanent spot in the national team. Hegering goes quietly about her business but has over 2021 become one of the top centre-backs and is hugely important to both Bayern and Germany."
82,NA,"New entry","Ashley Hatch","Forward","Washington Spirit","NWSL",26,"USA","https://media.guim.co.uk/bad1b78c5a3374129fd40f19d51b578122daf8b8/539_186_1250_1250/500.jpg","https://media.guim.co.uk/5c2f119b70ef17bdd9226e649434d5a888d554fd/952_121_1956_1174/500.jpg","After a couple of consistent seasons, Hatch in 2021 joined an exclusive club of players who can say they have won the NWSL Golden Boot. The 26-year-old was in great form throughout the year, the only player whose goal tally reached double figures in the regular season. Hatch went on to score the winner in the first play-off round against North Carolina Courage and deservedly picked up a championship medal, while a recent return to the USA squad saw her score twice in two games. At the peak of her powers in 2021."
83,NA,"New entry","Sandy Baltimore","Forward","PSG","D1 Arkema",21,"France","https://media.guim.co.uk/c695ab7bf7ce66ef4d036f57973a223944b85434/391_289_1534_1534/500.jpg","https://media.guim.co.uk/ae61707877751a40a6f5857ad78182e4ebb9d022/128_281_4207_2524/500.jpg","The sky appears to be the limit for the 21-year-old Baltimore. Her raw pace and skill is already proving tough to deal with for the very best full-backs in the world and she has quickly become one of the leading creators in the French league, ending last season with 12 assists and with five already this season, the second best in the league. Baltimore is part of an in-form front three alongside Marie-Antoinette Katoto and Kadidiatou Diani, and she is well on the way to stardom, her performance for France against England this year serving as a warning of what she is capable of."
84,NA,"Re-entry","Becky Sauerbrunn","Defender","Portland Thorns","NWSL",36,"USA","https://media.guim.co.uk/690204f7f7acf69b8ecab84ac4de3cf09fa43ee6/1100_148_1063_1063/500.jpg","https://media.guim.co.uk/ff67471a93a488da13bedbe793ece5ddd3b79ea8/1521_48_3680_2208/500.jpg","Sauerbrunn finally got to play her first full season with Portland Thorns after the pandemic caused the cancellation of the NWSL after her trade in 2020. The 36-year-old was a constant presence at the heart of the Thorns’ shield-winning team in 2021 while continuing her good form for the national team on the way to picking up a bronze medal in Tokyo. Let's enjoy Sauerbrunn, a leader on and off the pitch, while we can as she remains one of the best defenders in the world and regains her place in the top 100."
85,NA,"Re-entry","Barbara Bonansea","Forward","Juventus","Serie A TIMvision",30,"Italy","https://media.guim.co.uk/20e6641ff7997373f9ec80d39d645a5de300ab58/726_60_838_838/500.jpg","https://media.guim.co.uk/a2f2451df7f474d52840de8286bd5b0badd343eb/0_88_2817_1690/500.jpg","Bonansea remains one of the classiest operators in the Italian game and again had huge influence on Juventus's continued supremacy in Serie A, particularly when in fine scoring form during the first half of the year. Bonansea’s close control, vision and eye for goal has always made her one of the best players to come out of Italy and at 30 she’s showing no signs of slowing down. She has transferred her good form to the Italy national team and will be one to watch at next summer’s European Championships."
86,"52","-34","Sakina Karchaoui","Defender","PSG","D1 Arkema",25,"France","https://media.guim.co.uk/1521d4f865b13343efa7f38b64143f34e41b8a26/607_176_831_830/500.jpg","https://media.guim.co.uk/d3193ea32a78796a5970c0fbb4ab7ab0900cee90/0_84_3526_2117/500.jpg","While several players swapped PSG for Lyon over the summer, Karchaoui went the other way, opting to join the French champions rather than leave them. The left-back is now in the prime years of her career and performing consistently, holding down the position for her national team. Her talent is illustrated by the calibre of clubs that have chased her before two big moves in consecutive summers. With her ability to get forward and influence attacks, Karchaoui enjoyed another solid year overall."
