"sheets.Sheet1.Rank","sheets.Sheet1.Last.year","sheets.Sheet1.Up.or.down","sheets.Sheet1.Name","sheets.Sheet1.Position","sheets.Sheet1.Club.on.20.Dec.2016","sheets.Sheet1.League","sheets.Sheet1.Age.on.20.Dec.2016","sheets.Sheet1.Nationality","sheets.Sheet1.Filters","sheets.Sheet1.Image.found","sheets.Sheet1.Video.Path","sheets.Sheet1.Facewall.cell.image.GRID.src","sheets.Sheet1.Facewall.cell.image.GRID.attributes","sheets.Sheet1.Facewall.main.image.GRID.src","sheets.Sheet1.Facewall.main.image.GRID.attributes","sheets.Sheet1.","sheets.Sheet1.Profile","sheets.Sheet1.Writer","sheets.Sheet1.Words","sheets.Sheet1.Copy.in","sheets.Sheet1.To.be.subbed.by","sheets.Sheet1.Subbed","sheets.Sheet1.Revised"
"22","34","12","Gianluigi Buffon","Goalkeeper","Juventus","Italy","38","Italy","Italian, Serie A, Goalkeepers","","","https://media.guim.co.uk/f44fa429b502a9187fe6aafcb2a9858450d26891/798_19_1794_1795","cropRatio=1794,1795&size=500,1000,1794","https://media.guim.co.uk/760182fa97d6523b78de7cbda4f82815dc7aa21b/3_106_3286_1847","cropRatio=3286,1847&size=140,500,1000,2000,3286","","For Buffon, age really is just a number. He will turn 39 in January, but a more compelling figure by which to judge his enduring talent would be the 974 minutes that he went without conceding a goal in Serie A between January and March – <a href=""https://www.theguardian.com/football/blog/2016/mar/21/gianluigi-buffon-clean-sheet-record-juventus-torino-sebastiano-rossi"" >a new record for the Italian top flight</a>. Afterwards he posted an ode to his goal on Facebook, promising to carry on protecting it “as long as my legs, head and heart will allow”. On this evidence, it might be a while yet: our panel ranked him a full 12 places higher than in 2015.","Paolo Bandini","100","√MC","NAm","NAm","TD"
"23","26","3","Mesut Özil","Midfielder","Arsenal","England","28","Germany","German, Premier League, Midfielders","","","https://media.guim.co.uk/063f7274cf15ddc4f622bc36462efd56a4dabc9c/1392_109_815_815","cropRatio=815,815&size=140,500,815","https://media.guim.co.uk/e860ba1c25d4643eb935082942c8d8e0e8c205d5/103_28_1794_1002","cropRatio=1794,1002&size=140,500,1000,1794","","If you love football, you love Mesut Özil, according to Arsène Wenger, his manager at Arsenal, and the German has long been the connoisseur’s choice. The midfielder’s touch is velvety, luxurious and, when he is on his game – gliding into spaces, finessing angles – it is a mesmerising sight. But Özil has worked hard to add strength and power in order to cope with the demands of the Premier League and, most encouragingly for Arsenal, there has been the evidence of greater end product. The assist-meister has already <a href=""https://www.theguardian.com/football/2016/oct/19/arsenal-ludogorets-razgrad-champions-league-match-report"" >scored more goals this season</a> than in any of his previous three in north London.","David Hytner","100","√SM","RC","RC","NAm"
"24","40","16","Diego Godín","Defender","Atlético Madrid","Spain","30","Uruguay","Other nationalities, La Liga, Defenders","","","https://media.guim.co.uk/78e3942278a5aea198b4c7e9b8f454f80af4452d/1122_1116_625_625","cropRatio=625,625&size=140,500,625","https://media.guim.co.uk/d2f4214d68840edf15399616f98f0c167f984cf4/0_177_2988_1680","cropRatio=2988,1680&size=140,500,1000,2000,2988","","Perhaps getting noticed at last, climbing 15 places in our poll after a season that ended with Atlético reaching another Champions League final – and ending it without conceding a goal, <a href=""https://www.theguardian.com/football/2016/may/28/real-madrid-atletico-madrid-champions-league-final-match-report"" >only to lose on penalties</a>. “It’s hard to take but we’ll get up again,” Godín said. Nicknamed the Pharaoh, he has been at the heart of Atlético Madrid’s extraordinary success under Diego Simeone. The Uruguayan captain recently received in parliament the country’s highest distinction, the Premio José Nasazzi-Obdulio Varela – named after the captains of Uruguay’s 1930 and 1950 World Cup-winning sides – but he could not lead his team out of the group at the Copa América.","Sid Lowe","100","√MC","RC","RC","NAm"
"25","37","12","Sergio Ramos","Defender","Real Madrid","Spain","30","Spain","Spanish, La Liga, Defenders","","","https://media.guim.co.uk/6d1349ddf9cd8158d45bbf830904df6e14da1b28/1163_28_650_651","cropRatio=650,651&size=500,650","https://media.guim.co.uk/95bb18620e1d5328940b678235e891dd10c597b7/5_135_3300_1868","cropRatio=3300,1868&size=140,500,1000,2000,3300","","Ramos’s taste for tattoos has extended to red numbers inked onto his fingers but defending is the art with which he is more readily associated. And not only that: there are few defenders around with his ability to attack balls in the opposition box and make the difference at crucial times. His <a href=""https://www.theguardian.com/football/2016/nov/27/barcelona-draw-gerard-pique-clasico-atletico-madrid"" >dramatic equaliser at Camp Nou last month</a> might just prove decisive in the title race; another last-minute intervention got Real Madrid out of a tight spot against Deportivo two weeks later and he also <a href=""https://www.theguardian.com/football/2016/aug/09/dani-carvajal-real-madrid-super-cup-sevilla"" >saved them from Uefa Super Cup defeat against Sevilla</a> at the death. The 30-year-old, as consistent as ever in his own box, does not always win friends through his mastery of the dark arts but has a wonderfully keen sense of theatre.","Nick Ames","100","√MC","RC","RC","NAm"
"26","92","66","Leonardo Bonucci","Defender","Juventus","Italy","29","Italy","Italian, Serie A, Defenders","","","https://media.guim.co.uk/19b6e8834297ac105d0e0b2c89eace90074e65df/1217_125_1218_1218","cropRatio=1218,1218&size=140,500,1000,1218","https://media.guim.co.uk/07e47f8c51c1a2557003a6b73143ebb89c2a9339/131_152_3890_2187","cropRatio=3890,2187&size=140,500,1000,2000,3890","","Pep Guardiola named Bonucci as <a href=""https://www.theguardian.com/football/2016/mar/16/leonardo-bonucci-juventus-pep-guardiola-manchester-city"" >”one of my favourite ever players”</a> in February. The rest of the world got a glimpse as to why when the Juventus defender undid Belgium with a spectacular 40-yard assist for Emanuele Giaccherini in <a href=""https://www.theguardian.com/football/2016/jun/13/belgium-italy-euro-2016-match-report"" >Italy’s Euro 2016 opener four months later. Regular observers could attest that this was no isolated incident. A former midfielder (and even, briefly, an attacker) in his academy days, Bonucci might own the best passing range of any centre-back in Europe’s top five leagues. His finishing is not bad either, and he has scored some crucial goals for Juventus already in 2016-17.","Paolo Bandini","100","√MC","NAm","NAm","TD"
"27","90","63","Dimitri Payet","Midfielder","West Ham United","England","29","France","French, Premier League, Midfielders","","","https://media.guim.co.uk/5065c4ea7a9f5baada07eb15c9502f54731f43ec/823_22_1100_1100","cropRatio=1100,1100&size=140,500,1000,1100","https://media.guim.co.uk/bace2be37c6fb609f3127245383c5fae09bb8542/238_51_3088_1736","cropRatio=3088,1736&size=140,500,1000,2000,3088","","Never mind bubbles, West Ham spent the year blowing kisses at Payet, whose wizardry even enraptured neutrals as Slaven Bilic’s side secured European qualification. Even Didier Deschamps found new affection for the midfielder and recalled him after a nine-month absence from the international scene just in time for Euro 2016, where he was one of France’s best players, scoring <a href=""https://www.theguardian.com/football/2016/jun/10/france-romania-euro-2016-match-report"" >a wonderful winning goal against Romania in the opening match</a> before finding the net again against <a href=""https://www.theguardian.com/football/2016/jun/15/france-albania-euro-2016-match-report"" >Albania</a> and <a href=""https://www.theguardian.com/football/2016/jul/03/france-iceland-euro-2016-quarter-final-match-report"" >Iceland</a>. His creativity embellished the play of his club and his country while his free-kicks were stand-alone works of art.","Paul Doyle","100","√SM","RC","RC","NAm"
"28","46","18","Philippe Coutinho","Midfielder","Liverpool","England","24","Brazil","Brazilian, Premier League, Midfielders","","","https://media.guim.co.uk/3b1d82b6fb5b2bda26e5195bc53f297a6731b61c/1239_85_734_734","cropRatio=734,734&size=140,500,734","https://media.guim.co.uk/30b1d91f4c5f3a69718706da74bfa875ff68aa0d/6_283_5355_3011","cropRatio=5355,3011&size=140,500,1000,2000,5355","","Contrary to received wisdom, Liverpool knew exactly what they had lost the moment Philippe Coutinho <a href=""https://www.theguardian.com/football/2016/nov/28/philippe-coutinho-liverpool-out-six-weeks-ankle-injury"" >damaged ankle ligaments against Sunderland</a> in November – their most creative force and a talent who has found greater consistency under Jürgen Klopp. Liverpool's Premier League rise has been based largely on their potent front three so it is no surprise they all feature in the list and Coutinho has climbed 18 places since last year. He has scored 13 goals for his club in 2016, finally secured a regular place alongside his close friend Neymar in the Brazil attack and been regularly linked in Spain with a move to Barcelona. Liverpool, however, want the 24-year-old to sign a new long-term deal.","Andy Hunter","100","√SM","NAm","NAm","TD"
"29","18","-11","David de Gea","Goalkeeper","Manchester United","England","26","Spain","Spanish, Premier League, Goalkeepers","","","https://media.guim.co.uk/0e3df4e6315634a1ed86f1e2ce3b9e0ad14df409/1420_96_952_951","cropRatio=952,951&size=140,500,952","https://media.guim.co.uk/3d16cb322efb33d5b8c7b56128843f67f7a0d425/0_94_3847_2163","cropRatio=3847,2163&size=140,500,1000,2000,3847","","It took a few years but De Gea has now ousted Iker Casillas as Spain’s No1 and, at 26, could have another decade in him at that level. He had another exceptional year although it may be remembered for the insufficient repelling of Eder’s free-kick in <a href=""https://www.theguardian.com/football/2016/jun/27/italy-spain-euro-2016-match-report"" >the Euro 2016 quarter-final against Italy</a> that led Giorgio Chiellini to set Spain’s defeat in motion. That would be harsh; in that game alone De Gea made enough world-class saves to remind everyone of the norm and his form for Manchester United, where a third consecutive player of the year award told its own story, was outstanding. His <a href=""https://www.theguardian.com/football/2016/apr/23/everton-manchester-united-fa-cup-match-report"" >FA Cup semi-final</a> penalty save from Romelu Lukaku helped ensure a turgid 2015-16 season for the club brought <a href=""https://www.theguardian.com/football/2016/may/21/crystal-palace-manchester-united-fa-cup-final-match-report"" >some silverware</a>.","Nick Ames","100","√MC","RC","RC","NAm"
"30","","New","Pepe","Defender","Real Madrid","Spain","33","Portugal","Other nationalities, La Liga, Defenders","","","https://media.guim.co.uk/bcfb5e7d309817dcf32e2a8ef1c982481e900349/1594_148_1067_1067","cropRatio=1067,1067&size=140,500,1000,1067","https://media.guim.co.uk/89a623bd0d9c0326cfcc122bcef9ca1eea27df1d/4_463_4983_2802","cropRatio=4983,2802&size=140,500,1000,2000,4983","","A two-times Champions League winner who has made the team of the tournament at the past three European Championships, Pepe's reputation as a master of football's jet-black arts have probably precluded him from featuring on this list before now. He's a toe-rag – but he's Real Madrid and Portugal's toe-rag and both were delighted to call on the uncompromising defender for their respective marches to European glory. Euro 2016 proved that, as well as being a pantomime villain capable of occasional acts of violence and duplicity, Pepe is no mean footballer. His performance <a href=""https://www.theguardian.com/football/2016/jul/10/france-portugal-euro-2016-match-report"" > in the final against France</a> was little short of heroic.","Barry Glendenning","100","√MC","NAm","TD","NAm"
"31","6","-25","Thomas Müller","Forward","Bayern Munich","Germany","27","Germany","German, Bundesliga, Forwards","","","https://media.guim.co.uk/2f4dd3be9f9217de27199244f980dc80be8f2466/1024_78_1012_1012","cropRatio=1012,1012&size=140,500,1000,1012","https://media.guim.co.uk/665e93117d388dff795a5a0afac4d8d458df3bdd/0_20_2852_1603","cropRatio=2852,1603&size=140,500,1000,2000,2852","","Despite scoring 20 goals in the Bundesliga and eight in the Champions League in his most prolific season to date, the Germany forward drops 26 places after finishing sixth last year. Still only 27, Müller already has five league titles to his name and is fast approaching the 100-cap mark for his country, although <a href=""https://www.theguardian.com/football/2016/feb/23/thomas-muller-modest-assassin-bayern-munich-germany"" >perhaps his versatility works against him</a>
 when it comes to comparisons with the very best in the game. The departure of Pep Guardiola in the summer also seems to have affected him – it took him 12 appearances to score a league goal under Carlo Ancelotti.","Ed Aarons","100","√SM","NAm","NAm","TD"
"32","15","-17","Arturo Vidal","Midfielder","Bayern Munich","Germany","29","Chile","Other nationalities, Bundesliga, Midfielders","","","https://media.guim.co.uk/0ddd48d34071acf998483c95acfa1e14c3fb14c0/1287_884_989_989","cropRatio=989,989&size=140,500,989","https://media.guim.co.uk/0ac002a675a6f3dbd5964e92fcdda3fdcf573036/6_77_2986_1679","cropRatio=2986,1679&size=140,500,1000,2000,2986","","After a difficult start to his career at Bayern under Pep Guardiola, the Chilean midfielder proved so important with his drive and determination that the Catalan coach found himself unable to leave him out of the double-winning squad. The 29-year-old continued his fine form in the Copa América, where <a href=""https://www.theguardian.com/football/2016/jun/26/chile-win-copa-america-argentina-match-report-penalty-shoot-out"" >Chile triumphed on penalties against Argentina</a> for the second time in as many years (Vidal missed his spot-kick, however). This season has been less impressive, as the box-to-box specialist struggles to find full fitness and fend off rumours about off-the-pitch indiscretions.","Raphael Honigstein","100","√SM","RC","RC","NAm"
"33","38","5","Harry Kane","Forward","Tottenham Hotspur","England","23","England","English, Premier League, Forwards","","","https://media.guim.co.uk/6bf3025527f9be0fc73f82759fbe14814d024204/1509_32_1063_1064","cropRatio=1063,1064&size=500,1000,1063","https://media.guim.co.uk/f64a8494de9b55c219ffa53ac7a52464b6b0129d/20_274_5447_3063","cropRatio=5447,3063&size=140,500,1000,2000,5447","","The England striker has not only become a routine destroyer of defences. He has, in the process, wrung three new contracts out of the Tottenham Hotspur chairman, Daniel Levy, since August 2014 – and that is, most assuredly, no mean feat. <a href=""https://www.theguardian.com/football/2016/dec/01/tottenham-harry-kane-2022-contract"" >Kane’s latest deal pays him more than £100,000 a week</a>, making him the best-paid player in the club’s history and reflecting his status as <a href=""https://www.theguardian.com/football/2016/may/18/tottenham-harry-kane-doubters-golden-boot"" >the Premier League’s Golden Boot winner from 2015-16</a>. He has a rare connection with the fans at White Hart Lane, who appreciate his prodigious work-rate and loyalty. With Kane, however, it starts and finishes with the goals.","David Hytner","100","√SM","RC","RC","NAm"
"34","20","-14","Ivan Rakitić ","Midfielder","Barcelona","Spain","28","Croatia","Other nationalities, La Liga, Midfielders","","","https://media.guim.co.uk/e5d63a5df4a518c2955f7ee320ce7d2a3b860c97/639_262_966_965","cropRatio=966,965&size=140,500,966","https://media.guim.co.uk/8ce26d9db61a0d6170e3756c71e782d0d581562f/86_94_3867_2174","cropRatio=3867,2174&size=140,500,1000,2000,3867","","Has looked tired and out of place in the last few weeks, raising doubts for the first time since he arrived at Barcelona, but his contribution has been huge since joining the club – not least because of the combination of talent, intelligence and workrate with which he covers the right side, often alone. <a href=""https://www.theguardian.com/football/2015/aug/10/barcelona-ivan-rakitic-sevilla-super-cup"" >Won the treble in his first season</a>, a goal in the Champions League final included, and the double in his second. Played every game as Croatia won their group at Euro 2016, finishing ahead of Spain, only to <a href=""https://www.theguardian.com/football/2016/jun/25/croatia-portugal-euro-2016-match-report"" >go out to Portugal in the second round</a>, despite him insisting that they had been the better team.","Sid Lowe","100","√MC","NAm","NAm","TD"
"35","13","-22","Eden Hazard","Forward","Chelsea","England","25","Belgium","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/a9ae9a7b7dbd15ca3bbb224ec5ee7f77450fe56e/917_123_640_639","cropRatio=640,639&size=140,500,640","https://media.guim.co.uk/a45c180d6a2b820454ab035a288209a975ca2dd9/0_234_3438_1938","cropRatio=3438,1938&size=140,500,1000,2000,3438","","Eden Hazard’s slump to 35th place probably reflects how miserable so much of last season proved to be for the Belgian. A player who had illuminated the Premier League title-winning campaign the year before struggled desperately for form and fitness under José Mourinho and Guus Hiddink. Now playing pain-free again, <a href=""https://www.theguardian.com/football/2016/nov/18/eden-hazard-antonio-conte-chelsea"" >he is back to his scintillating best</a> from a free role on the left of a front three, scoring and providing goals in a resurgent team under Antonio Conte. His <a href=""https://www.theguardian.com/football/2016/nov/05/chelsea-everton-premier-league-match-report"" >effervescent display against Everton in November</a> was arguably one of the greatest witnessed in the Premier League.","Dominic Fifield","100","√MC","RC","RC","NAm"
"36","45","9","Jérôme Boateng","Defender","Bayern Munich","Germany","28","Germany","German, Bundesliga, Defenders","","","https://media.guim.co.uk/b5c3b861981147dcba5201a91ad88a509c91e067/127_132_2229_2229","cropRatio=2229,2229&size=140,500,1000,2000,2229","https://media.guim.co.uk/7c386c5d2d4c13f4e5a5f55201762c19b62b0195/6_112_3948_2220","cropRatio=3948,2220&size=140,500,1000,2000,3948","","A year of two halves for the dominant centre-back. Superb in Bayern’s defence during Pep Guardiola’s final six months in charge, the 28-year-old has struggled after the summer. <a href=""https://www.theguardian.com/football/2016/jan/28/bayern-munich-jerome-boateng-injury-pep-guardiola"" >Niggling injuries have played their part</a> and he admitted in December that, frankly, he “was not playing well enough”. He did not take kindly to criticism from Karl-Heinz Rummenigge, however, when the Bayern chief executive said Boateng “needed to come back to earth a little” and spend less time on his PR commitments. “I can only laugh at those comments,” he said. ","Marcus Christenson","100","√SM","NAm","NAm","TD"
"37","","New","Paulo Dybala","Forward","Juventus","Italy","23","Argentina","Argentinian, Serie A, Forwards","","","https://media.guim.co.uk/b7f7b77b2bc750caa7f63ab53b077fc556b34db1/761_121_561_561","cropRatio=561,561&size=140,500,561","https://media.guim.co.uk/2d9d215af1c66ab360421eade7cb891ad75ad24d/129_0_3271_1839","cropRatio=3271,1839&size=140,500,1000,2000,3271","","The third-highest new entry on this year’s list, it is a safe bet that Dybala will climb further in the years ahead. His former team-mate Paul Pogba has already identified him as a potential future Ballon d’Or winner, as well as giving him the nickname “Square R2” – a reference to the buttons used on a PlayStation game to execute a curling finish. The Argentinian does score a few of those, but to reduce his game to such would be to miss the dribbling, the footwork, the speed of thought and the joy <a href=""https://www.theguardian.com/football/blog/2016/jan/25/paulo-dybala-juventus-fill-boots-carlos-tevez"" >that make him so special</a>.","Paolo Bandini","100","√MC","RC","RC","NAm"
"38","44","6","Gerard Piqué","Defender","Barcelona","Spain","29","Spain","Spanish, La Liga, Defenders","","","https://media.guim.co.uk/4a94eae892f58b235c87a2169a4d3fbb20314aaf/1955_361_866_866","cropRatio=866,866&size=140,500,866","https://media.guim.co.uk/f52a5cc26f3fac366a6c000df9d57b9f17dd52b9/3_156_4245_2387","cropRatio=4245,2387&size=140,500,1000,2000,4245","","Defenders rarely get the plaudits in ""best player of the year"" polls, especially if they play for Barcelona. But the 29-year-old was once more imperious for his hometown club as they picked up yet another league title – the sixth of Piqué's career – with the second meanest defence in La Liga behind Atlético Madrid. His year was slightly marred by ""sleevegate"", which led to the announcement of <a href=""https://www.theguardian.com/football/blog/2016/oct/11/gerard-pique-spain-world-cup-2018-retirement"" >his intention to retire from international football</a> after the 2018 World Cup. Spain will be a poorer side without him. ","Ed Aarons","100","√SM","NAm","NAm","TD"
"39","24","-15","Sergio Busquets","Midfielder","Barcelona","Spain","28","Spain","Spanish, La Liga, Midfielders","","","https://media.guim.co.uk/689a3d806fd1834af88223833a3d7f0b501b2626/844_245_532_532","cropRatio=532,532&size=140,500,532","https://media.guim.co.uk/2b7cadf49c248e9fab36abf8e3f83158f62e3053/0_100_3240_1822","cropRatio=3240,1822&size=140,500,1000,2000,3240","","It is some prospect that Busquets, still just 28 but seemingly around forever, probably has five years or so left at the top level – not that he will necessarily <a href=""https://www.theguardian.com/football/blog/2016/feb/24/sergio-busquets-barcelona-arsenal"" >be noticed as much as he deserves</a>. It was a fine start to 2016 for Busquets, who was his usual formidably consistent, meticulous self in Barcelona’s latest title win, although things have tailed off slightly since. Spain flopped at Euro 2016 and then, with Barcelona trailing Real in the La Liga race this time, there have been suggestions that his calm, controlled style is not quite as important to Luis Enrique’s side as it used to be. Barcelona are a shade more direct than in previous years and it may be that the long-serving midfielder has to adapt.","Nick Ames","100","√MC","RC","RC","NAm"
"40","","New","Hugo Lloris","Goalkeeper","Tottenham Hotspur","England","29","France","French, Premier League, Goalkeepers","","","https://media.guim.co.uk/b59bdc3a516e217e54716517b54b086ded72fe89/499_36_497_497","cropRatio=497,497&size=140,497","https://media.guim.co.uk/a92d444062402c7df5450ffa9d7fe42b8e4b0994/149_608_5203_2925","cropRatio=5203,2925&size=140,500,1000,2000,5203","","A new entry this year thanks to his quietly crucial role in Tottenham Hotspur's Premier League title challenge and France's progress to the Euro 2016 final. He led his club and his country by example, producing consistently high-grade performances to give confidence to his defenders. He was a key factor in Spurs recording the joint-best defensive record in the Premier League last season, as his shot-stopping prowess foiled many an opponent and his speed off the line enabled his team to defend high. He inspires <a href=""https://www.theguardian.com/football/2016/apr/01/hugo-lloris-tottenham-hotspur-captain-liverpool"" >by setting and demanding high standards</a>
 and he is among the most reliable goalkeepers in Europe.","Paul Doyle","100","√SM","NAm","NAm","TD"
"41","70","29","Koke","Midfielder","Atlético Madrid","Spain","24","Spain","Spanish, La Liga, Midfielders","","","https://media.guim.co.uk/80e5001857c799036a1b8b366f87741eda037f45/2017_175_1317_1317","cropRatio=1317,1317&size=140,500,1000,1317","https://media.guim.co.uk/bf590b00647032c440fa1ba24cd43ab857729486/67_0_2780_1563","cropRatio=2780,1563&size=140,500,1000,2000,2780","","Koke has stood at the heart of the debate about Atlético’s identity this season, one that is often stripped down and simplified to a single question: where is Koke playing? In the middle of midfield or to the side? Diego Simeone says he has been working on bringing him inside, the key midfielder, for three years now – but still it has not quite happened definitively. They are more creative when he is there but, as the captain Gabi said, more fragile too. Spain, for whom he has 29 caps, are watching closely: a superb player, with vision and creativity, passing skill and an ability to judge what the game needs, but the obsession over finding someone to “be” Xavi perhaps has not helped him.","Sid Lowe","100","√MC","RC","RC","NAm"
"42","","New","Jan Oblak","Goalkeeper","Atlético Madrid","Spain ","23","Slovenia","Other nationalities, La Liga, Goalkeepers","","","https://media.guim.co.uk/8a8e8356d2e421d0e031550b7923b0aac8ae748a/804_163_1413_1412","cropRatio=1413,1412&size=140,500,1000,1413","https://media.guim.co.uk/800d9531b3b09e17587a2995bd2f188686f2ae68/0_152_3574_2010","cropRatio=3574,2010&size=140,500,1000,2000,3574","","Oblak makes his debut in the 100 firmly ensconced in the top half, but he is only the fifth-highest goalkeeper on the list. Plus ça change for the Slovenian, who remains one of the most underrated players in Europe. He is the ultimate elite level goalkeeper; rather than making a string of saves, playing behind Atlético Madrid’s rugged defence means his greatest asset is concentration, as he has to suddenly awaken to pull something out of the bag. The exception was <a href=""https://www.theguardian.com/football/blog/2016/may/04/diego-simeone-atletico-madrid-bayern-munich-champions-league"" >his remarkable display to keep Bayern at bay</a> in the Champions League semi-final. No wonder Atleti fans barely remember who Thibaut Courtois was. ","Andy Brassell","100","√SM","NAm","NAm","TD"
"43","39","-4","Ángel di María","Forward","PSG","France","28","Argentina","Argentinian, Other leagues, Forwards","","","https://media.guim.co.uk/a8a2eccc1a94b5102ab603fa8a43eb3510f488f3/1005_203_863_863","cropRatio=863,863&size=140,500,863","https://media.guim.co.uk/94c9a4825c73e66da10503799cb787878c437180/0_90_3142_1766","cropRatio=3142,1766&size=140,500,1000,2000,3142","","It takes a special kind of magic to make £44m seem like a bargain but that is the effect that Di María wrought in his first season at Paris Saint-Germain following <a href=""https://www.theguardian.com/football/2015/aug/06/angel-di-maria-joins-psg-manchester-united"" >his transfer from Manchester United</a>. A misfit at Old Trafford, he became the creative leader of PSG’s team, regularly teeing up goals for team-mates as well as scoring 15 himself in his debut season in France. But, as at United, his performances then dipped and his attitude caused concern, so much so that by December he was being booed by PSG fans.","Paul Doyle","100","√SM","RC","RC","NAm"
"44","30","-14","David Silva","Midfielder","Manchester City","England","30","Spain","Spanish, Premier League, Midfielders","","","https://media.guim.co.uk/664ec5a4fa809f771121c52b4adfd123ff2ebb2c/1056_372_1187_1187","cropRatio=1187,1187&size=140,500,1000,1187","https://media.guim.co.uk/1a45b270cf5ac01a5d1d3a6da3ae3a08e6a1715c/3_376_4625_2600","cropRatio=4625,2600&size=140,500,1000,2000,4625","","David Silva’s excellence sometimes seems in danger of being taken for granted these days. While Manchester City have rued injuries to Sergio Agüero and Kevin De Bruyne in recent times they are simply not the same without the Spaniard, who might be less dynamic but has a wily, scheming creative brain with few parallels. He can thread a ball through the eye of a needle, or turn up in a pocket of space that had seemed sealed off moments previously; he keeps everything ticking, whether from a central position or drifting in from wide, and would arguably be City’s hardest player to replace. A minor criticism would be that the goals, while never that many in number, have dried up in 2016 – only four at the time of writing.","Nick Ames","100","√MC","RC","RC","NAm"
"45","43","-2","Marco Verratti","Midfielder","PSG","France","24","Italy","Italian, Other leagues, Midfielders","","","https://media.guim.co.uk/1ebe6464a4cbe83dfbe5694694b60edf4b122064/984_182_759_759","cropRatio=759,759&size=140,500,759","https://media.guim.co.uk/8a6a9f2dbeec2619230591424c5918ff8ff31bde/0_131_2320_1304","cropRatio=2320,1304&size=140,500,1000,2000,2320","","Not the Italian’s happiest year even if, after two months out with injury, he returned to the PSG squad in April to claim his fourth Ligue 1 title in a row and then lifted the French League Cup. Injury struck again and ruled him out of Euro 2016. His importance to PSG is such that he signed a contract extension in August and <a href=""https://www.theguardian.com/football/2016/sep/14/olivier-giroud-marco-verratti-red-card-arsenal-psg-champions-league"" >Olivier Giroud took a petty swipe at him</a> in September. Verratti’s red card for being knocked over by the forward was rescinded but <a href=""https://www.theguardian.com/football/2016/nov/23/arsenal-psg-champions-league-match-report"" >his misfortune against Arsenal continued</a> when he scored an own goal at the Emirates Stadium.","Paul Doyle","100","√SM","RC","RC","NAm"
"46","51","5","Diego Costa","Forward","Chelsea","England","28","Brazil","Spanish, Premier League, Forwards","","","https://media.guim.co.uk/db551808790b285a20d9ced9d5918368e11ffec8/1267_273_1575_1574","cropRatio=1575,1574&size=140,500,1000,1575","https://media.guim.co.uk/e075b1c51079b6f94d8011233d1dd06a5bea7c66/0_220_5206_2927","cropRatio=5206,2927&size=140,500,1000,2000,5206","","It is surprising, perhaps, that Chelsea's Brazil-born Spain international forward still finds himself so far down this list given his staggering scoring rate since arriving in the Premier League. Perhaps it is a legacy of last season’s <a href=""https://www.theguardian.com/football/2015/dec/19/chelsea-fans-boo-costa-fabregas"" >initially angry and ineffective form</a>. Yet he scored 12 in 20 games from Boxing Day 2015, and has started at a sprint this time around with 13 league goals by mid-December. His disciplinary record, too, <a href=""https://www.theguardian.com/football/2016/dec/04/gary-cahill-diego-costa-angy-guy-more-mature-chelsea-manchester-city"" >has improved markedly under Antonio Conte</a> even if he does still lead the line aggressively. A powerhouse of a player, and one of the Premier League's best.","Dominic Fifield","100","√MC","NAm","NAm","TD"
"47","54","7","Edinson Cavani","Forward","PSG","France","29","Uruguay","Other nationalities, Other leagues, Forwards","","","https://media.guim.co.uk/e1a3edb1793b90b8ce73e96cfa83a1478ae58479/673_52_798_798","cropRatio=798,798&size=140,500,798","https://media.guim.co.uk/a7fb724e159db7e662bc978e5107b22de575319a/0_77_4087_2298","cropRatio=4087,2298&size=140,500,1000,2000,4087","","His big prize came after winning the Ligue 1 title with PSG, when the club decided against buying a replacement for Zlatan Ibrahimovic and gave the role to Cavani instead. He had craved a return to the central striking berth and, since gaining it, has demonstrated his exceptional movement. His goals-per-game ratio is excellent – for PSG both domestically and in Europe, as well as for Uruguay in the South American World Cup qualifying group – but <a href=""https://www.theguardian.com/football/blog/2016/nov/23/edinson-cavani-psg-arsenal"" >his rate of misses</a> means he has a staggering blooper reel, too.
","Paul Doyle","100","√SM","NAm","NAm","TD"
"48","88","40","Marcelo","Defender","Real Madrid","Spain","28","Brazil","Brazilian, La Liga, Defenders","","","https://media.guim.co.uk/b8d8de74ea37739eda328f9cdbd38e4dfdc13f7c/1787_70_1305_1305","cropRatio=1305,1305&size=140,500,1000,1305","https://media.guim.co.uk/5b97b619b3f0ca03617e91656914c211a0c28189/0_175_4189_2355","cropRatio=4189,2355&size=140,500,1000,2000,4189","","On the eve of his 10th anniversary of signing for Real Madrid, Marcelo is beginning to be recognised as a true cornerstone of his team. If locking up top talent like Gareth Bale and Cristiano Ronaldo ahead of <a href=""https://www.theguardian.com/football/2016/sep/08/real-madrid-atletico-madrid-lose-appeals-against-fifa-transfer-ban"" >the impending Fifa registration ban</a> was important, we should note the left-back was the first to commit in July last year, and nobody at the club is any doubt about just how important that was. More than just an attacking full-back, his poise infield as well as out wide was evident in the march towards a second Champions League title in three years.","Andy Brassell","100","√SM","RC","RC","NAm"
