"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.20.Dec.2022","sheets.players.League","sheets.players.Age.on.20.Dec.2022","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"37","122","Re-entry","Klara Bühl","Forward","Bayern Munich","Germany","22","Germany","German, Frauen-Bundesliga, Forwards","","","https://media.guim.co.uk/7366a5f1b0dfb4dd237c82588bf9e92a21f70249/653_517_1113_1113/500.jpg","","https://media.guim.co.uk/0bc81078f76a2d0a62d218505bf774b8d44d52dd/783_97_2851_1711/500.jpg","","","The 22-year-old rockets back into the top 100 this year and there is still so much to come from the exciting young forward. Though not a prolific goalscorer, Bühl is capable of terrorising even the best defences with her direct play, as she is showing for Bayern Munich and for Germany in the summer. It was such a blow for the Germans to lose Bühl for the Euros semi-final and final to Covid-19 and a personal blow for such an exciting player who was showing what she could do on the biggest stage.","","","day_4_marrow.jpg"
"38","32","-6","Asisat Oshoala","Forward","Barcelona","Spain","28","Nigeria","Other nationalities, Liga F, Forwards","","","https://media.guim.co.uk/19b53d389b46ae7913d5eba4f19385616ea084ef/1799_0_1568_1568/500.jpg","","https://media.guim.co.uk/f8c2bf5ed7d7e0f695411d10d0670e2053f2c070/223_181_4277_2566/500.jpg","","","Oshoala drops slightly in 2022 and that may largely be down to how you can split the forward’s year into two. The first half she was in top form and ended the season as the joint-top scorer with an excellent 20 goals alongside Geyse. Oshoala then got injured early on in the Africa Cup of Nations and has seen opportunities at times limited in the new season, though her stunning goal against Benfica reminded everyone what she can do when in top form. When on it, she is sublime.","","","day_4_marrow.jpg"
"39","-","New entry","Alessia Russo","Forward","Manchester United","England","23","England","English, WSL, Forwards","","","https://media.guim.co.uk/27c0a8156ce52583ab8da2032edd412caa1d18a9/1511_111_848_848/500.jpg","","https://media.guim.co.uk/313e4f718685b30a26259b0ec8dd18579e2bfdfd/394_544_3106_1864/500.jpg","","","Alessia Russo redefined the term ""supersub"" in 2022, though it’s a tag she can now already shirk off having taken up the starting spot for England since Ellen White’s retirement in August. Her impact up front was critical in England’s success in the summer, starting with coming off the bench to set up the team’s equaliser against Spain, before her famous backheel took centre-stage against Sweden in the semi-finals. For Manchester United, Russo is going from strength to strength, her physical ability combining with her goalscoring to make her a tough player to stop.","","","day_4_marrow.jpg"
"40","78","38","Ewa Pajor","Forward","Wolfsburg","Germany","26","Poland","Other nationalities, Frauen-Bundesliga, Forwards","","","https://media.guim.co.uk/4e2596fcb7ca8b6b861de38af5819e2eb593318b/1462_43_1188_1188/500.jpg","","https://media.guim.co.uk/0fe618c2afb604189cb996df65da0705fc14cc1b/0_89_3073_1844/500.jpg","","","There is no doubting Pajor is one of the best goalscorers in the world. Now 26 and entering the peak years of her career, she will be hoping injury problems are behind her, as will both Wolfsburg and Poland. Her stats since the summer tell their own story, with the forward leading the way in the Bundesliga with eight goals. Pajor is also the top scorer in the Champions League so far this season with six. Carry on this form and Pajor will be flying up the rankings in 2023, particularly as she remains prolific at international level too.","","","day_4_marrow.jpg"
"41","40","-1","Lea Schüller","Forward","Bayern Munich","Germany","25","Germany","German, Frauen-Bundesliga, Forwards","","","https://media.guim.co.uk/53b6c021997d9fe562a94011b81c2356049d1ca2/3038_29_4459_4461/500.jpg","","https://media.guim.co.uk/3a91afc2e3d4776ec594bf61b22fe0822f801c5f/0_236_3179_1908/500.jpg","","","The 25-year-old is fast approaching her peak years and with it she is also finding her top goalscoring form. Schüller is one of the top scorers in the Bundesliga this season with six for Bayern Munich, following up last season's golden boot-winning campaign, when she racked up 16. Alexandra Popp's form at Euro 2022 meant opportunities on the biggest stage were limited, but Schüller is likely to progress to being Germany's out-and-out No 9 for years to come, and rightfully so. She certainly showed moments of her talent when given the opportunity during the summer.","","","day_4_marrow.jpg"
"42","9","-33","Lieke Martens","Forward","PSG","France","30","Netherlands","Dutch, D1 Arkema, Forwards","","","https://media.guim.co.uk/e81aeb214b6e02c59a4dcd0d65fcee0cb6a07e63/2489_19_1250_1250/500.jpg","","https://media.guim.co.uk/e4881755d76429157a391906ed71ea4a7f59bfb9/0_109_7839_4703/500.jpg","","","Martens drops outside the top 10 this year after a frustrating European Championship which was eventually ended by injury as the Netherlands struggled. It was a shame because she came into the tournament off a superb year for Barcelona, where she scored 17 goals and created 12 more and was one of the top players in Liga F, before confirming a move to PSG after the Euros. She's off the mark for her new club but it has taken Martens time to get up to speed after injury.","","","day_4_marrow.jpg"
"43","11","-32","Magdalena Eriksson","Defender","Chelsea","England","29","Sweden","Swedish, WSL, Defenders","","","https://media.guim.co.uk/348e6e183319287180d5f7d9e5481d66d538cf56/863_159_2900_2899/500.jpg","","https://media.guim.co.uk/59505c53790122d3b52443c18ddbbd511d8d01a1/246_343_3975_2386/500.jpg","","","Eriksson continues to perform with the consistency which continues to see her be one of the highest-ranked defenders in the top 100. The Swede is now a real leader and helped Chelsea to another superb domestic year, whether being asked to play at the heart of defence or as a full-back. She is also so good on the ball and able to influence attacks, playing out from centre-back and getting forward as a left-back, particularly for her country. Eriksson continues to take on extra responsibility for growing the sport both on and off the pitch too.","","","day_4_marrow.jpg"
"44","39","-5","Amandine Henry","Midfielder","Lyon","France","33","France","French, D1 Arkema, Midfielders","","","https://media.guim.co.uk/504555a2fc6e8d8d23b468843714cfb09e0ffcf3/854_72_3222_3222/500.jpg","","https://media.guim.co.uk/96e534005b73efcd0eb1d1dda1d526d7304d93b6/0_133_6261_3758/500.jpg","","","Henry drops slightly after a year where the midfielder was not as prolific. However, she showed glimpses of why she remains a top player in the eyes of our judges, particularly in the biggest game of all when she scored a stunning opener for Lyon against Barcelona in the Champions League final. Henry's performances in Lyon's winning run earned her a spot in Uefa's squad of the season. She was disappointed to be left out of the France squad for the European Championship, and she's just returned from a slight knock for Lyon to try and help them retain their league and European titles.","","","day_4_marrow.jpg"
"45","86","41","Sakina Karchaoui  ","Defender","PSG","France","26","France","French, D1 Arkema, Defenders","","","https://media.guim.co.uk/63969a7fc563914e55c87544b102678b6415c426/2099_455_1452_1453/500.jpg","","https://media.guim.co.uk/2bc8b1925080aeb32388c69cf8d16648c28b2c1a/0_100_4085_2452/500.jpg","","","Karchaoui is among the big movers here in 2022, with her impressive performances catching judges' eyes. Her peak came for France at Euro 2022 where she was exceptional at left-back, providing two assists and ending with a deserved place in the team of the tournament. Karchaoui epitomises the modern full-back, with her ability to defend not compromised by her willingness to attack and create chances, at both PSG and France. With stiff competition in the position at both, Karchaoui's performances are keeping her in the starting lineups and she continues to grow into a top defender.","","","day_4_marrow.jpg"
"46","28","-18","Kadeisha Buchanan  ","Defender","Chelsea","England","27","Canada","WSL, Defenders, Canadian","","","https://media.guim.co.uk/925a4f6fd17c26690ae0a2bc03bd762cd1498cfb/925_284_1636_1635/500.jpg","","https://media.guim.co.uk/54a8fe5ec562e68b4606455257f8e8cb5adab470/0_99_3500_2100/500.jpg","","","Buchanan took on a new challenge in 2022 after helping Lyon to regain their Champions League title. The commanding defender moved to Chelsea. It was a huge coup for Emma Hayes and although the transition hasn't been seamless, Buchanan is showing signs of the player we know she is. She started the year in her best form and her performances at the Arnold Clark Cup for Canada were nothing short of superb. Buchanan's presence has been like a brick wall for the Olympic champions. When she settles into English life she will surely provide an extra level to the Chelsea defence moving forward.","","","day_4_marrow.jpg"
"47","95","48","Trinity Rodman","Forward","Washington Spirit","USA","20","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/061f1d0a0d4721a4299fadd9754051176fcc2d26/782_191_863_863/500.jpg","","https://media.guim.co.uk/8f1976841dce9aea3fc1570a3b69b1db0a11b73f/0_366_4859_2914/500.jpg","","","After winning the NWSL title in 2021, Washington Spirit embarked on a difficult season in 2022, but youngster Rodman was a leading light as the team struggled for victories. With pace to burn and so much ability down the wings, she is terrying for opposition full-backs, as she showed against England in October's friendly at Wembley. The 20-year-old still has so much to come but is already making herself a key player for the USA before the World Cup. Rodman is one of the biggest movers in this year's list and earned herself a Ballon d'Or nomination too.","","","day_4_marrow.jpg"
"48","296","New entry","Mary Earps","Goalkeeper","Manchester United","England","29","England","English, WSL, Goalkeepers","","","https://media.guim.co.uk/cc7033c7cc72abe9b88bf1383b2da13d10f87f9a/1695_139_918_918/500.jpg","","https://media.guim.co.uk/3b3f86ac8585dca2af94cfd5489288fa4e356ad7/0_192_4439_2665/500.jpg","","","Earps had to earn the chance to finally become England's No 1, but it's an opportunity she's taken with both hands. With Ellie Roebuck absent for a chunk of the buildup to Euro 2022, Earps became the undisputed pick for England and repaid Sarina Wiegman with a string of impressive performances and clean sheets on their way to Euro 2022 success. Earps made vital saves in all three of England's knockout games, and was commanding in the biggest game of her career in the final against Germany. That form has trickled into her club game where she is impressing for Manchester United and deservedly earns a spot in the top 100 for the first time, going straight into the top 50.","","","day_4_marrow.jpg"
"49","17","-32","Stina Blackstenius","Forward","Arsenal","England","26","Sweden","Swedish, WSL, Forwards","","","https://media.guim.co.uk/6e853c009203492fb420b857ce28cbcf52b1aec1/564_2_952_952/500.jpg","","https://media.guim.co.uk/850b68836a9eb3e57a27eb74405b5bfc895ab56b/0_79_2311_1387/500.jpg","","","After an excellent 2021 which led to her topping the scoring charts for Häcken in Sweden, Blackstenius was in demand in January and it was Arsenal who were fortunate enough to sign her. The Swedish forward wasted no time in getting going and has already reached double figures in England for her new club, with six goals in the second half of last season and four more in the first half of this. In Europe, she's been a creative force, with three assists so far during the club's Champions League campaign. The goals have dried up of late but across club and country it's been another good year.","","","day_4_marrow.jpg"
"50","6","-44","Jenni Hermoso","Forward","Pachuca","Mexico","32","Spain","Spanish, Other leagues, Forwards","","","https://media.guim.co.uk/4bdca5b97416eeff50dda4a8fe9dcd53405f257e/921_0_609_609/500.jpg","","https://media.guim.co.uk/05d0c4e6bcf3994af32b097b194fbac3baeb6ae4/0_71_4282_2570/500.jpg","","","Hermoso's year can be split into two. Her form was close to perfect towards the back end of last season for Barcelona, where she ended another trophy-laden season with 16 goals but unfortunately injury ruled Hermoso out of Euro 2022. She made a somewhat surprising move to Mexico with Pachuca where she will be looking to return to top form during the second part of the season as she continues her new adventure.","","","day_4_marrow.jpg"
"51","59","8","Caroline Weir","Midfielder","Real Madrid","Spain","27","Scotland","Other nationalities, Liga F, Midfielders","","","https://media.guim.co.uk/c3ad25bd143fa8e78ee6f3fdfefb3836e1263527/481_27_881_881/500.jpg","","https://media.guim.co.uk/3efeb27fa824216c909f70edfdc6854f8763f3f8/0_254_4850_2911/500.jpg","","","Weir has quickly become one of the most enjoyable footballers to watch and this year she has continued to develop her game, earning a big summer move to Real Madrid. Weir started it off in top form at Manchester City, ending her last season at the club with six goals and five assists, including another stunning lob against rivals Manchester United. The Scot has wasted no time in making an impact in Spain, showing off her skill, talent and eye for goal, while scoring to knock her former club out of the Champions League.","","","day_4_marrow.jpg"
"52","109","Re-entry","Guro Reiten","Midfielder","Chelsea","England","28","Norway","Other nationalities, WSL, Midfielders","","","https://media.guim.co.uk/52019e5c1c87d9a4f6e08eeecbe6b908f707a3d3/571_0_2332_2333/500.jpg","","https://media.guim.co.uk/1590e939cfe6451bb9465aaef4440995761572b7/0_243_3500_2100/500.jpg","","","Had Reiten's performed last season like she is this term there's every chance the Norwegian would be well inside the top 50 as she re-enters the top 100 this year. Her form this season for Chelsea has been exceptional, she is playing some of the best football of her career and now having a real influence on Chelsea in attack, where she has nine assists already in the WSL before Christmas. If that's not impressive enough, she has five more in the Champions League, leading this season's assists chart. She is the most creative footballer in the world right now and doesn't look like stopping.","","","day_4_marrow.jpg"
"53","144","New entry","Ella Toone","Midfielder","Manchester United","England","23","England","English, WSL, Midfielders","","","https://media.guim.co.uk/d53a30a1877f682ac8b61b8456a0eefaf8a01cfb/1279_0_903_903/500.jpg","","https://media.guim.co.uk/3dd209c16baee67b66d347a7b99cb6fbbd8fc1ba/621_101_3767_2261/500.jpg","","","Toone's seven goals and eight assists in the WSL for Manchester United made her impossible to ignore by England's Sarina Wiegman, and her scoring record for the Lionesses has matched up to her club standard. Undoubtedly Toone's highlight of 2022 was her deft lob in the Euros final that got England off the mark, but her late equaliser off the bench in the quarter-final against Spain was no less important. She took some time to get going again in the new season but has returned to top form as United push up the table, and there are few in her role with stats as impressive as Toone this year.","","","day_4_marrow.jpg"
"54","-","Re-entry","Giulia Gwinn","Midfielder","Bayern Munich","Germany","23","Germany","German, Frauen-Bundesliga, Midfielders","","","https://media.guim.co.uk/02360a67c0dd9a17eec46694822aae8255d5edcb/569_186_1178_1177/500.jpg","","https://media.guim.co.uk/6cff2c8680c1a8bba82872ef31d9888f9fa375fb/0_143_2522_1514/500.jpg","","","Gwinn's superb year which sees her re-enter the top 100 in 2022 – she last made the list in 2019 – has been tough since she has suffered a second serious ACL injury which will likely rule her out for most of 2023. Gwinn returned from her first injury and quickly reminded everyone what she can do, particularly at Euro 2022 where she was exceptional for Germany in their run to the final. Her performance at Wembley was one which didn't deserve to end up on the losing side. There's every argument to suggest she was the best full-back at the tournament and her form for Bayern was excellent too, and her loss for both is a shame heading into another big year.","","","day_4_marrow.jpg"
"55","19","-36","Kim Little","Midfielder","Arsenal","England","32","Scotland","Other nationalities, WSL, Midfielders","","","https://media.guim.co.uk/61b7a7a2be313d0cc8b4c2d893041d6615cd8162/918_243_835_835/500.jpg","","https://media.guim.co.uk/e096236007253740f1878638360adcc3f822e127/0_150_3553_2132/500.jpg","","","Little is simply timeless and her scoring the first goal of the new WSL season back in September reminded everyone of that fact. She was nominated for PFA Player of the Year at the end of last season and after a short-term loan to OL Reign in the USA over the summer, she picked up her good form for Arsenal upon her return. Still one of the best players to watch, displaying ease on the ball and an ability to control games. Sadly, an injury stunted her year recently but she's closing in on a return and her side will be keen to have her back in time for the second half of the season.","","","day_4_marrow.jpg"
"56","184","Re-entry","Erin Cuthbert","Midfielder","Chelsea","England","24","Scotland","Other nationalities, WSL, Midfielders","","","https://media.guim.co.uk/fe36655e1d365a34f6b26a6dd3610fc994b54a86/476_141_2087_2087/500.jpg","","https://media.guim.co.uk/b27870c3169b2d85fd56571366cbf0cdd16d8ec3/447_92_2719_1632/500.jpg","","","Cuthbert re-enters the 100 this year and at her highest ranking after an excellent 2022, particularly for Chelsea. Currently, she's busy scoring worldies left, right and centre, whether against Tottenham in the league or Spanish giants Real Madrid in Europe, Cuthbert is flying right now. Her stats don't tell the full story, but her ability to burst forward from midfield and influence games certainly does. Chelsea recently tied the Scotland international down to a new long-term contract. There are few midfielders currently with the ability to pop up on the edge of the box and score or create like Cuthbert, and you feel like she's just going to get better.","","","day_4_marrow.jpg"
"57","14","-43","Ashley Lawrence","Defender","PSG","France","27","Canada","D1 Arkema, Defenders, Canadian","","","https://media.guim.co.uk/f4612bf8ba9c703d86800800ef6d9edc94e2360d/378_30_681_681/500.jpg","","https://media.guim.co.uk/d07b0aaf558295168ec426459dbb5f1d57b260b9/0_94_2113_1268/500.jpg","","","Lawrence is another Canadian who drops slightly after the high of winning gold at the Tokyo Olympics last year, but it was still a really solid year for the 27-year-old. Her ability to play at either right-back or left-back sets her apart from most of her rivals, with PSG regularly using her down the right and Canada down the left. Lawrence's drop doesn't reflect her quality as a player and she continues to perform at the highest level.","","","day_4_marrow.jpg"
"58","31","-27","Mariona Caldentey ","Forward","Barcelona","Spain","26","Spain","Spanish, Liga F, Forwards","","","https://media.guim.co.uk/fca94b7b4c73d764bfc83c1dc2875198493c241b/1779_11_1791_1791/500.jpg","","https://media.guim.co.uk/4cc6cb6794b7210854ed6766dd32f5578ac51a84/0_176_4500_2700/500.jpg","","","Caldentey drops outside the top 50 in 2022 but has enjoyed a productive year. For Spain she was arguably one of the team's most dangerous players at Euro 2022 while remaining a key player for all-conquering Barcelona. She's enjoyed a good start to the new season, scoring three and setting up four more, while also finding the net three times in Europe, including a halfway line stunner. Her ability to play in midfield or across the forward line shows the versatility of her attacking qualities and why defenders find Caldentey so hard to stop given she can play numerous roles with ease.","","","day_4_marrow.jpg"
"59","112","Re-entry","Svenja Huth","Forward","Wolfsburg","Germany","31","Germany","German, Frauen-Bundesliga, Forwards","","","https://media.guim.co.uk/d358ff1d4741a86ecd90e6351d65c7d7e7b9970a/845_0_2853_2853/500.jpg","","https://media.guim.co.uk/ea7c99c4aa42cf5d0f294d6c673cf9545fe1ef2b/0_95_2180_1309/500.jpg","","","There remain few as deadly down the right-hand side of a pitch as Huth, and it's no surprise she returns to our list after an excellent 2022. The 31-year-old ended last season's Bundesliga campaign with 12 assists for champions Wolfsburg, well clear of anybody else. Her start to the new season domestically has been quieter, but she is one of the leading providers in the Champions League already and was one of Germany's most dangerous players during their run to the Euro 2022 final. ","","","day_4_marrow.jpg"
"60","76","16","Jill Roord","Midfielder","Wolfsburg","Germany","25","Netherlands","Dutch, Frauen-Bundesliga, Midfielders","","","https://media.guim.co.uk/e899f56b0d28c6ea032df23ecaf5e89b21ad77ba/771_49_1861_1861/500.jpg","","https://media.guim.co.uk/c178fa168fd7eb9da59bc1c2c3a34a5fd70170bd/0_58_3535_2121/500.jpg","","","Roord continues her rise up the rankings with a jump into the top 60 this year. That is no surprise given how regularly she has been finding the back of the net, with her goalscoring stats impressive throughout 2022, and even more so because she’s a midfielder. The Dutchwoman hit double figures for Wolfsburg last season, as well as adding five more in the Champions League, and already has five in the league this season. She’s becoming a key player now for club and country as she enters her peak years and it's hard to ignore the form she's in.","","","day_4_marrow.jpg"
"61","147","Re-entry","Caitlin Foord","Forward","Arsenal","England","28","Australia","Australian, WSL, Forwards","","","https://media.guim.co.uk/ae3a75ea13765c70dfcd091a7374a15a5e97ad0e/3058_162_1397_1397/500.jpg","","https://media.guim.co.uk/a94a8ef1d00fffe34a3800b30f9fbbf452e2cf9e/0_143_3100_1860/500.jpg","","","Foord's Arsenal and Australia teammate, Steph Catley, recently said she believes the 28-year-old is playing the best football of her career. Foord has become a key player in the Arsenal attack. She has been one of the most creative players in the WSL this season, already creating five goals for her teammates before Christmas. She's picking up top form at just the right time, especially with a home World Cup next year, and returns to the list having been 51st in 2020.","","","day_4_marrow.jpg"
"62","55","-7","Khadija Shaw","Forward","Manchester City","England","25","Jamaica","Other nationalities, WSL, Forwards","","","https://media.guim.co.uk/e61372e3857aeb509599c154aaf405c6f4acced1/1869_613_1358_1358/500.jpg","","https://media.guim.co.uk/a463c4b1ebb94bceb2ce0e1a08954979eb6834ef/0_62_2934_1761/500.jpg","","","Shaw drops slightly but should her form at the end of 2022 continue she will rise well up the rankings in 2023. It took the Jamaican star a little time to build into life in England as Manchester City started with Ellen White last season, but since the England forward's retirement Shaw has shown the goalscoring prowess everyone knew was there. Her ability to link up and create has led to Shaw topping the WSL scoring charts this season with eight goals for Gareth Taylor's side.","","","day_4_marrow.jpg"
"63","38","-25","Jessie Fleming","Midfielder","Chelsea","England","24","Canada","WSL, Midfielders, Canadian","","","https://media.guim.co.uk/36b6f9ad1e38b23f7c6e5572169095217db9d008/628_137_2064_2064/500.jpg","","https://media.guim.co.uk/153c48ba94c313a99d262b981e893fac979dcb0e/0_212_4211_2528/500.jpg","","","Fleming drops slightly after her exploits on the world stage in 2021, but while Canada enjoyed a more low-key year post-Olympics, she has now started to come more to the fore at club level with Chelsea, particularly following the departure of Ji So-yun and Melanie Leupolz's unavailability after giving birth. Fleming's talent has been well known since breaking on to the stage as a teenager. Now playing further forward with Pernille Harder out injured, she is contributing with goals and assists and playing several key midfield roles for one of the best club side's in the world.","","","day_4_marrow.jpg"
"64","-","New entry","Merle Frohms  ","Goalkeeper","Wolfsburg","Germany","27","Germany","German, Frauen-Bundesliga, Goalkeepers","","","https://media.guim.co.uk/aad4ee4313016809a3a44b254a366e6d64d40252/618_118_1101_1101/500.jpg","","https://media.guim.co.uk/5c70014061031166e12d3a99161fc203ad32f36a/0_246_4387_2633/500.jpg","","","Frohms is another who jumps into the 100 for the first time and it's little surprise after a big year for both club and country. Her two years at Eintracht Frankfurt propelled Frohms not only to No 1 status for Germany, where she was superb in the summer's Euros, but also earned her a move to champions Wolfsburg. The 27-year-old was one of the best goalkeepers of the tournament, her shot-stopping ability on show throughout Germany's run to the final.","","","day_4_marrow.jpg"
"65","108","New entry","Ona Batlle","Defender","Manchester United","England","23","Spain","Spanish, WSL, Defenders","","","https://media.guim.co.uk/7aa2916950c422360d43b143bb4e4167f1a39466/1757_5_1037_1037/500.jpg","","https://media.guim.co.uk/111a4578e5374d03e97ae5c0901ee21460f60062/0_386_3359_2015/500.jpg","","","Batlle is another talented young defender who comes into the top 100 for the first time. She has quietly progressed for Manchester United every season since arriving in England and is now arguably the most complete full-back in the WSL. Batlle manages to team up both defensive work with her attacking qualities. She's tough to get around at the back due to her tenacity and reading of the game, but is now influencing matters at the other end too, as she showed with her superb goal earlier this month against Aston Villa at Old Trafford.","","","day_4_marrow.jpg"
"66","-","New entry","Naomi Girma","Defender","San Diego Wave","USA","22","USA","American, NWSL, Defenders","","","https://media.guim.co.uk/3519d1519c92860a422900134b6986143d36ff0f/1038_195_1013_1013/500.jpg","","https://media.guim.co.uk/eb3898bde519d1dddfac6c3d9a80a80125cbd3df/217_218_4783_2872/500.jpg","","","A breakout star of 2022 for both club and country. The 22-year-old was the first player selected in the NWSL Draft by San Diego Wave and had a huge impact in the club's first season, as well as working herself into a starting spot for the USA since making her senior debut in April. Girma is already showing how composed she is at the heart of defence for both teams, and is nowhere near her peak as a defender, but has been well recognised by our judges for her performances.","","","day_4_marrow.jpg"
"67","24","-43","Kosovare Asllani","Midfielder","Milan","Italy","33","Sweden","Swedish, Other leagues, Midfielders","","","https://media.guim.co.uk/2c1e619b3e19fcd53426dac763aeacfef6eedae9/1219_11_1241_1241/500.jpg","","https://media.guim.co.uk/39086a76f1f786cc11e94b476e5980312fe7aed6/418_43_2542_1526/500.jpg","","","It's little surprise that a player as experienced and talented as Asllani has had a big impact on a growing Milan side after swapping Spain for Italy. She is close to the top of the scoring charts in Italy with seven goals already this campaign for her new club, coming into the season off the back of an impressive Euro 2022 for Sweden. She was arguably her national side's most influential player during the tournament, causing problems for opponents with her close control, skill and footwork.","","","day_4_marrow.jpg"
"68","90","22","Rachel Daly","Forward","Aston Villa","England","31","England","English, WSL, Forwards","","","https://media.guim.co.uk/e864a8c1c8429dd204e2e1d98ba339b659679874/1117_699_2282_2282/500.jpg","","https://media.guim.co.uk/3b55f24b8e8231f25416a8788af20f41cab7ad0d/0_141_6000_3600/500.jpg","","","Daly played two very differing roles throughout 2022 as a striker and a tenacious full-back. For Houston Dash, she was in her usual No 9 position and as ever impressive in her finishing ability in the NWSL, before returning to England with Aston Villa over the summer. Currently joint-top scorer in the WSL, Daly played at left-back role for England as they won the European Championship and her hard work and never-say-die attitude in defence were pivotal to lifting the trophy. She continues to be the ultimate versatile pro.","","","day_4_marrow.jpg"
"69","50","-19","Sara Däbritz","Midfielder","Lyon","France","27","Germany","German, D1 Arkema, Midfielders","","","https://media.guim.co.uk/7433302baf8a5e6981eec65a248bccc8e8f64e26/744_370_2958_2956/500.jpg","","https://media.guim.co.uk/ef436c31b71ef231c23ec18b0edde95700350690/0_90_2500_1500/500.jpg","","","Däbritz is showing herself to be on one of the most consistent midfielders in the world, especially when it comes to her all-round game in midfield. Her influence both defensively and offensively sets her apart, where she can drop back and frustrate the opposition before breaking forward and getting on the ball to create chances at the other end of the pitch. Däbritz moved between rivals PSG and Lyon in the summer and has already had an impact on the latter, while remaining important for Germany.","","","day_4_marrow.jpg"
"70","52","-18","Megan Rapinoe","Forward","OL Reign","USA","37","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/2fb71de85cbb08c4da87044d6143e01ab0cb759b/996_26_1946_1946/500.jpg","","https://media.guim.co.uk/c14f8ddfebe663bc86724e7a40609f0a08d17952/0_10_3600_2161/500.jpg","","","Megan Rapinoe is not slowing down. Check the scoring and assists rankings for the NWSL season this year and the 37-year-old ranked highly in both. Rapinoe came to the fore for OL Reign in the second half of last term helping her side to the regular season title. Despite emerging talent across the USA attack, Rapinoe is still holding down an important role in the team heading into likely her final World Cup next year and is reminding people she still has plenty to offer at the top level.","","","day_4_marrow.jpg"
"71","66","-5","Ellie Carpenter","Defender","Lyon","France","22","Australia","Australian, D1 Arkema, Defenders","","","https://media.guim.co.uk/86bee5759594c5cd001c2ebe45b7d5b664cef56b/1320_523_2324_2322/500.jpg","","https://media.guim.co.uk/82c860dd9c3e878df3c0a2ef69118054c99deace/0_157_3601_2161/500.jpg","","","It is testament to Carpenter's ability that she drops only five places this year despite missing the second half of the year due to an ACL injury. Cruellest of all, it came during the biggest game of her year as Lyon beat Barcelona to regain their Champions League title. Up to that point the full-back had continued to be impressive for club and country and was once again in good form. Given how long she has been on the scene at the top level, it's easy to forget Carpenter is still only 22 and there is little doubt she will continue to progress when she returns to action next year.","SG**","GS","day_4_marrow.jpg"
"72","125","New entry","Geyse ","Forward","Barcelona","Spain","24","Brazil","Liga F, Forwards, Brazilian","","","https://media.guim.co.uk/804d19a5f3a4b6c17fa113bc53a39aea342fe408/1001_66_2158_2158/500.jpg","","https://media.guim.co.uk/9cfff5cd68e8c57bb1d49ad0d5da266afee93598/0_0_4000_2400/500.jpg","","","Geyse's ability has been well known since she broke into the Brazil youth teams, and it hasn't taken her long to reach the top echelons. Her 20 goals for Madrid CFF last season were an incredible feat in a team outside the big four in Spain and earned her a move to Barcelona in the summer where she has wasted no time in making an impact. Geyse has nine goals this season in all competitions as well as picking up the Copa América trophy with Brazil in the summer. An incredible year for a young striker with so much more to come.","GS","SG**","day_4_marrow.jpg"
"73","262","New entry","Yui Hasegawa","Midfielder","Manchester City","England","25","Japan","Other nationalities, WSL, Midfielders","","","https://media.guim.co.uk/4c6e097b3a4440f20071c68e4c93b3a136c4af18/891_188_923_922/500.jpg","","https://media.guim.co.uk/c86e78b858afedcc3809df3821c1ebfed12ac28d/0_138_4474_2685/500.jpg","","","Perhaps it was the big summer move to Manchester City that has finally earned Hasegawa further appreciation within the game as the Japanese star breaks into the top 100 for the first time. Like many teammates at international level, her technical ability on the ball is there for all to see, albeit at times she is being asked to play a more defensive role for her new club, but Hasegawa has also shown she can get forward to score and create goals as she did for West Ham. It is refreshing to see such a talented player step up to one of Europe's top clubs and show just how influential she can be on a team's attacking play.","SG**","GS","day_4_marrow.jpg"
"74","-","New entry","Linda Caicedo","Forward","Deportivo Cali","Colombia","17","Colombia","Other nationalities, Other leagues, Forwards","","","https://media.guim.co.uk/eff6895a7868240bfd4ada5748830b8642171fbb/984_31_1630_1631/500.jpg","","https://media.guim.co.uk/0481d8119810a826bfa631b9c3ffce168c411fb0/0_0_2837_1703/500.jpg","","","The youngest player to break into the top 100 this year and a name we will certainly hear plenty more of in years to come. Caicedo is an exceptional talent at 17 and has been heavily linked with a move to Barcelona already. Her winning goal against Argentina helped Colombia to the Copa América final, a tournament in which the teenager was named the best player. Caicedo also starred at the U17 World Cup and it's a marker of her talent that she juggles youth and senior football with ease. Caicedo has all the attributes in her attacking game to become one of the best.","GS","SG**","day_4_marrow.jpg"
